	S1	S28	S6
id254785	0	13	1
id1814128	0	3	4
id3020829	0	5	54
id1316411	0	2	0
id1316412	0	0	1
id1156431	0	0	1
id102684	0	1	1
id68892	0	3	2
id1346	0	11	9
id1338	0	2	2459
id2598457	0	7	11
id684066	0	0	2
id2610896	0	4	1
id150055	0	0	2
id59310	0	1	2
id1825069	0	0	1
id2759692	0	1	2
id2972784	0	2	1
id400065	0	0	1
id33040	0	89	9
id28037	0	58	13345
id1309	0	5	3076
id1902136	0	3	1
id2763068	0	6	0
id712623	0	2	1
id712633	0	0	3
id1303	0	153	32
id2781599	0	0	21
id1811193	0	0	1
id1318	0	4	2
id1501662	0	15	52
id1348	0	44	3234
id197614	0	0	6
id2490633	0	0	4
id82348	0	33	11
id1313	0	24570	4810
id1340	0	1	11
id257758	0	13	4
id361101	0	36	6
id1314	0	17308	5224
id1341	0	2	2
id2021971	0	0	4
id1234680	0	1	1
id1917441	0	24	6
id1304	0	3	5
id1305	0	6	9
id1310	0	1	2
id1301	0	14232	43544
id1307	0	27609	274492
id1308	0	69	35
id2819619	0	193	3
id1349	0	11	5
id149016	0	1	1
id1343	0	0	3
id2664091	0	0	1
id1300	0	65	127
id186826	0	263	3552
id91061	4	3019	2466
id29360	530	0	0
id698776	235	0	0
id2497860	3	0	0
id3029174	0	0	1
id3023090	0	1	0
id1970093	92	0	0
id84022	67728	0	0
id1488	7887	0	0
id29341	3	0	0
id84023	2270	0	0
id2212991	74	0	0
id1561	2	0	0
id1520	1220	1	0
id1491	21105	0	0
id1492	16576	0	0
id1155388	0	1	0
id217159	5332	0	1
id1493	4997	0	0
id46867	0	0	1
id1494	2	0	0
id223919	2	0	0
id641107	2	0	0
id332101	161	0	0
id238834	2	0	0
id36839	3	0	0
id2068654	2	0	0
id1497	7	0	0
id704125	3	0	0
id36845	1	0	0
id2483110	1	0	0
id1534	1	0	0
id1538	14	0	0
id2992805	30	0	0
id1702238	1	0	0
id137838	2	0	0
id1501	24608	0	0
id1502	2	2	2
id169679	7985	0	0
id36745	5	0	0
id1548	22891	0	0
id1485	29435	0	0
id1509	1730	0	0
id394958	4	0	0
id1513	2160	0	0
id1519	1	0	0
id1490	2	0	0
id2726954	1	0	0
id31979	46	0	1
id53442	6991	0	0
id1736	26	0	0
id2041044	1	0	2
id1730	1206	0	0
id186806	3	0	0
id114527	0	1	0
id1229621	0	0	2
id2877527	0	0	1
id1796616	0	0	1
id185008	3198	0	0
id830	12	0	0
id66219	8521	0	0
id168384	0	0	1
id166486	0	0	1
id186803	7	1	0
id1515	0	2	1
id236753	0	1	0
id1264	4241	0	0
id1263	3	0	0
id1510	5627	0	0
id216572	33	0	0
id1496	0	9	18918
id2770776	0	0	2
id2770780	0	0	32
id2770788	0	0	3
id1870884	0	0	735
id143361	0	0	2224
id186804	0	0	35
id68298	0	2	0
id2173034	0	1	2
id938288	0	1	0
id186802	104	7	72
id186801	7	2	0
id1522	0	0	2
id1547	0	0	1
id2929157	2	0	0
id2485784	4	0	0
id1648	672	0	4
id1647	1027	0	0
id39483	0	0	1
id526525	0	1	0
id971	0	0	5556
id970	0	0	4
id2754044	0	1	0
id1843491	0	0	2
id29465	0	1	0
id33034	0	0	1
id165779	0	1	0
id40091	0	6	2
id2931922	0	2	0
id1852373	0	5	1
id33033	0	8	0
id3016343	0	2	0
id54005	0	5	0
id1570339	0	4	0
id46507	1	14	0
id1582879	0	1	0
id1737404	0	4	4
id1239	46	677	1442
id2528203	1	0	0
id47678	5	0	0
id1796613	2	0	0
id246787	3	3	0
id2847299	1	2	0
id28111	3	2	0
id674529	16	0	0
id2715212	5	0	0
id817	33153	2	0
id2650158	3	0	0
id2763022	3	0	0
id291645	1	1	0
id28116	10	1	0
id291644	6	2	0
id816	8940	13	0
id46506	0	1	0
id818	79616	5	0
id820	1	0	0
id371601	12	0	0
id2650157	3	0	0
id387090	0	1	0
id357276	4431	62083	0
id376805	12204	2	0
id909656	1755	8358	0
id821	7915	141	0
id815	970	1249	0
id397865	1	0	0
id156973	1	0	0
id1642646	120	0	0
id2829812	105	0	0
id1642647	98	0	0
id294702	12	0	0
id2005520	69	0	0
id28118	4035	0	1
id1853231	2	0	0
id185300	1	0	0
id28123	0	0	2404
id36874	0	0	1
id837	1	0	35736
id322095	0	1	2
id836	0	0	141
id454155	2	0	0
id52227	0	7	0
id28131	0	0	3901
id28132	0	4	0
id28133	1	0	3
id838	0	4	206
id171552	0	0	14
id2585118	2	0	0
id328814	0	1	1
id823	17	1	0
id328812	3	0	0
id387661	1	0	0
id46503	3	0	0
id375288	4	0	0
id28112	1	0	0
id171549	2726	1622	616
id2949635	15	0	0
id2681766	0	0	1
id200643	3	0	0
id246875	1	0	0
id59739	0	0	1
id2896860	0	0	1
id768507	2	0	0
id1888890	0	0	1
id326319	0	0	1
id2175091	0	0	10
id2602769	0	0	18
id1784713	0	0	4
id2704140	0	0	1
id2502784	0	0	1
id2294119	0	0	10
id1114861	0	0	1
id2183896	0	0	1
id2893884	1	0	0
id1492737	0	0	1
id2748319	0	0	1
id3016339	0	0	1
id2748320	0	0	2
id2746225	1	0	0
id1678728	0	0	1
id2856519	0	0	2
id2989816	0	0	4
id2885633	0	0	1
id96345	0	0	4280
id2201181	0	0	1
id237	2	0	288
id1170699	0	0	1
id1218801	0	3	0
id983544	0	0	4862
id291183	0	0	13
id313603	0	0	1
id1836467	0	0	6807
id252356	0	0	2
id1583100	0	0	3
id2562892	0	0	2
id2572594	0	0	1
id76832	0	0	2
id702745	0	0	1
id480520	0	0	5394
id76831	0	0	776
id639310	0	0	2
id2932268	0	0	1
id754423	1	0	0
id2686078	1	0	0
id49546	14	0	262
id1778601	2	0	0
id2997336	1	0	0
id2852098	0	0	1
id59732	2	0	3
id28251	0	0	3364
id1014	0	0	3447
id2762318	1	0	10
id200644	16	0	43
id3025666	0	0	1
id371142	5	0	0
id28453	0	0	1
id84566	0	0	3
id976	164	77	125
id349221	0	0	1
id28198	0	0	1
id1813595	0	0	1
id449520	0	0	1
id2572074	0	0	1
id2572069	0	0	5
id2572059	0	0	1
id2572050	0	0	3
id2572082	0	0	1
id195	0	0	99
id374106	0	0	8
id1813019	0	0	11
id198	0	0	1
id260714	1	0	2
id197	0	0	4994
id201	0	0	6
id2267891	0	0	2
id1848766	0	0	1
id488546	0	0	2
id1032242	0	0	1
id194	0	0	11056
id28080	0	0	1
id827	0	0	1
id1655500	0	0	1
id213849	0	0	1
id456827	0	1	0
id2841264	0	0	1
id289435	0	2	0
id1203	1	0	0
id3028117	0	2	2
id52022	0	1	0
id849	0	4	0
id851	0	1	0
id712357	0	1	0
id1129771	0	1	0
id2782163	0	1	0
id33926	0	1	3
id2095	0	3	1
id2102	0	1	1
id2683967	0	1	1
id358	2	0	0
id356	0	1	0
id1263979	0	0	1
id28211	2	0	0
id1758194	3	0	0
id1353891	10	0	0
id32002	41	0	0
id2860286	2	0	0
id217204	3	0	0
id1881016	2	0	0
id1389922	4	0	0
id1353889	3	0	0
id72557	3	0	0
id222	5193	0	0
id217203	8	0	0
id85698	207	0	0
id290425	1	0	0
id323284	4	0	0
id511	3	0	0
id2918755	1	0	0
id2991054	1	0	0
id507	1	0	0
id521	25	0	0
id463025	5603	0	0
id518	10447	0	0
id463014	11	0	0
id463040	26	0	0
id463024	455	0	0
id1416806	6	0	0
id1416803	8	0	0
id1697043	7	0	0
id103855	129	0	0
id35814	5694	0	0
id1746199	17	0	0
id519	2009	0	0
id520	57873	0	1
id94624	194179	0	0
id1331258	92204	0	0
id517	172735	0	0
id123899	23	0	0
id75697	1	0	0
id206506	1	0	0
id2901142	2	0	0
id2488560	1	0	0
id2716226	3	0	0
id2028345	1	0	0
id84590	1	0	0
id29575	3	0	0
id29574	1	0	0
id506	3353	0	0
id152480	2	0	0
id95486	4	0	1
id292	1	0	0
id488447	1	0	0
id337	1	0	0
id1705310	1	0	0
id482957	1	0	0
id488446	2	0	0
id13373	1	0	0
id87883	5741	0	0
id28450	3	0	0
id60550	2	0	0
id2906514	1	0	0
id32008	761	0	0
id1503055	2	0	0
id57975	3	0	0
id60552	1	0	0
id1827195	1	0	0
id82541	2	0	0
id119219	2	0	0
id1796606	1	0	0
id82633	1	0	0
id876364	2	0	0
id134537	1	0	0
id252970	1	0	0
id148447	1	0	0
id1822464	2	0	0
id311230	1	0	0
id36873	1	0	0
id44013	1	0	0
id305	4	0	0
id48736	1	0	0
id119060	45	0	0
id80867	1	0	0
id80869	1	0	0
id80878	2	0	0
id2738413	5	0	0
id179636	2	0	0
id225991	2	0	0
id2853163	1	0	0
id2597701	1	0	0
id283	4	0	0
id558537	1	0	0
id80865	1	0	0
id1288495	1	0	0
id2714924	1	0	0
id2735554	2	0	0
id1267217	1	0	0
id2109913	2	0	0
id34073	2	0	0
id80864	3	0	0
id1707785	1	0	0
id2975441	1	0	0
id80840	3492	0	0
id504	0	0	1
id265175	0	0	1
id492	0	0	1
id326522	0	0	1
id267212	0	0	1
id2666100	0	0	2
id493	0	0	1
id1853278	0	0	3
id483	0	0	41
id2912675	0	0	1
id194197	0	0	2
id1931275	0	0	1
id495	0	0	22
id484	0	0	14
id485	1	0	5364
id655307	0	0	2
id486	0	0	2670
id496	0	0	11
id487	0	0	77139
id488	0	0	14
id1815583	0	0	2
id641148	0	0	8
id490	0	0	32
id482	0	0	22403
id28449	0	0	13
id607711	0	0	1
id28091	0	0	1
id1853276	0	0	2
id640030	0	0	1
id2912188	0	0	5
id481	0	0	567
id206351	0	0	60
id32003	2	0	0
id2591109	1	0	0
id28216	292	0	41
id648	2	0	0
id645	0	1	2
id135624	0	0	1
id38313	1	0	0
id22	0	1	0
id332186	0	1	0
id1486991	0	0	1
id565	1	0	0
id1778263	0	1	0
id35703	1	0	0
id1748967	1	0	1
id546	1	0	0
id544	3	0	0
id2562449	2	0	0
id184912	1	0	0
id61645	1	0	0
id1686399	1	0	0
id550	0	0	1
id158836	0	0	1
id2724468	1	0	0
id299767	1	0	0
id1812935	1	0	0
id547	6	0	1
id208962	14	0	0
id562	2528	0	21
id2044467	6	0	0
id564	10	0	0
id1499973	9	0	0
id2725997	1	0	0
id561	379	0	0
id548	1	0	1
id573	2	1	10
id570	2	0	0
id61648	1	0	0
id1158459	1	0	0
id2891570	3	0	0
id2923366	1	0	0
id54291	1	0	0
id28901	7	3	10
id590	1	0	0
id621	7	0	0
id622	7	0	1
id623	23	0	1
id2906475	1	0	0
id624	5	0	0
id620	6	0	0
id543	6770	2	9
id553	2	0	0
id592316	1	2	1
id1903409	0	0	1
id638	0	1	0
id582	0	0	3
id584	1	0	0
id583	0	0	1
id351671	0	1	0
id78398	0	0	1
id631	0	0	1
id91347	31	3	7
id446	0	0	1
id421	1	0	0
id2563897	0	2	0
id470	0	10	3
id29430	0	1	0
id756892	0	1	0
id40214	0	13	0
id40215	0	1	0
id2715163	0	1	0
id1789224	0	1	0
id28090	0	5	0
id1827285	0	1	0
id48296	0	1	0
id40216	0	1	0
id108981	0	8	0
id1530123	0	2	0
id2905879	0	1	0
id469	0	1969	0
id202956	0	5	0
id1646498	0	39214	0
id108980	0	1	0
id70346	0	1	0
id52133	0	1	0
id2601122	0	1	0
id476	0	0	3
id386891	0	0	2701
id480	0	0	2784
id34062	0	0	1
id29433	0	0	7
id475	0	0	591
id468	0	48	8
id718	0	0	3328
id2774188	0	0	2
id51049	0	0	1
id720	0	0	1
id715	0	0	8
id189834	0	0	1
id713	0	0	330
id716	0	0	2
id714	0	0	3498
id416916	0	0	29
id762	0	0	1
id697331	0	0	1
id653940	0	0	1
id750	0	0	2
id738	0	0	6027
id2094023	0	0	18
id197575	0	0	2
id730	0	0	67138
id726	0	0	40
id727	0	0	16793
id712310	0	0	4
id729	0	0	16
id249188	0	0	1
id724	0	0	5911
id731	0	0	2
id85402	0	0	1
id75985	0	0	14331
id2679994	0	0	2
id75984	0	0	550
id85404	0	0	2
id2679995	0	0	1
id753	0	0	1
id754	0	0	2
id747	0	0	4751
id745	0	0	6092
id2778911	0	0	1
id1960084	0	0	1
id1443036	0	0	1
id712	0	0	2251
id1881017	1	0	0
id2748080	1	0	0
id2774873	1	0	0
id287	50	0	0
id47877	1	0	0
id1294143	1	0	0
id2971912	1	0	0
id587753	1	0	0
id53408	1	0	0
id359110	4	0	0
id294	0	0	1
id46680	1	0	0
id301	3	0	0
id380021	1	0	0
id286	14	0	0
id2901164	1	0	0
id135621	4	0	0
id38293	0	0	2
id300876	1	0	0
id670	0	0	1
id104609	0	0	1
id2819101	1	0	0
id662	0	0	2
id641	0	0	1
id2911539	1	0	0
id2571115	1	0	0
id40324	3	0	0
id56448	1	0	0
id346	8	0	0
id456327	1	0	0
id56454	1	0	0
id2053930	1	0	0
id56458	0	0	1
id338	5	0	0
id135614	2	0	0
id1236	67	156	357
id1224	7369	11	912
id69710	0	0	1
id239935	5087	0	0
id239934	10	0	0
id2	838	2918	1623
id0	8074	5406	5835
id2846260	0	1	0
id2846286	0	1	0
id2846288	0	1	0
id326036	0	2	0
id1347760	0	1	0
id2846269	0	1	0
id2846271	0	2	0
id55511	0	5	0
id2846250	0	4	0
id320844	0	1	0
id320849	0	1	0
id1623298	0	1	0
id1464127	0	2	0
id1197952	0	1	0
id2846300	0	1	0
id130478	0	2	0
id2846380	0	1	0
id2846293	0	1	0
id43685	0	2	1
id1701850	0	5	0
id403905	0	2	0
