SampleID	ForwardFastqFile	ReverseFastqFile	TreatmentGroup	Description	PCo1	PCo2	PCo3	PCo4	PCo5	PCo6	PCo7	PCo8	PCo9	PCo10	PCo11	PCo12	PCo13	PCo14	PCo15	PCo16	PCo17	PCo18	PCo19	PCo20	PCo21	PCo22	PCo23	PCo24	PCo25	PCo26	PCo27	PCo28	PCo29	PCo30	PCo31	PCo32	PCo33	PCo34	PCo35	PCo36	PCo37	PCo38	PCo39	PCo40	PCo41	PCo42	PCo43	PCo44	PCo45	PCo46	PCo47	PCo48	PCo49	PCo50	PCo51	PCo52	PCo53	PCo54	PCo55	PCo56	PCo57	PCo58	PCo59	PCo60	PCo61	PCo62	PCo63	PCo64	PCo65	PCo66	PCo67	PCo68	PCo69	PCo70	PCo71	PCo72	PCo73	PCo74	PCo75	PCo76	PCo77	PCo78	PCo79	PCo80	PCo81	PCo82	PCo83	PCo84	PCo85	PCo86	PCo87	PCo88	PCo89	PCo90	PCo91	PCo92	PCo93	PCo94	PCo95	PCo96	PCo97	PCo98	PCo99	PCo100	PCo101	PCo102	PCo103	PCo104	PCo105
SRR12823328	SRR12823328_1.fastq.gz	SRR12823328_2.fastq.gz	Mexico	SRR12823328	14.824153790591	-14.9122717582462	23.3708829763195	2.13338177743296	5.20776721697667	-0.110118016180209	0.0700780618113902	-2.35765559120157	3.05167238405282	-0.920871666024189	-2.23034860399742	4.46552212619054	-2.6621125609052	4.99995534941024	3.28976744134323	-1.03538418572175	-1.87928821560695	-7.812095439549	-2.25117127441025	4.92716231947828	3.51137536256778	-9.83250792461432	2.910342472318	-3.99191393248116	0.554914641886641	-10.375472667795	1.12134022853448	-5.03970568834343	-0.806954493957601	-10.9833411406064	-0.807337835349852	0.672620646660833	3.66631068631663	1.92209158616944	-1.99159938461745	-6.70725711753066	-8.18034083499562	-4.45730050749648	2.85822804072166	5.28476858337683	-0.163239532360531	-4.65402671552783	8.38209097646779	-4.75859013677854	-5.34642247509753	4.19917831837942	-1.6905053980841	-6.18763354517061	3.87969418221312	-6.30166246899923	1.50651694348804	2.10028577134438	-5.88536164129885	-8.80060987736037	-6.95448892026781	-7.11062143927405	2.00563749265924	-1.43076728311446	-6.97599601372222	-7.91100051183825	-5.97372034327808	-3.30774532499654	0.0627725570368161	0.501575317075047	-2.69334571583646	-4.59618766646086	5.65210447091176	3.34778020843137	3.95199760901031	-8.38385006929348	-4.90090852554676	0.81316837856482	2.36406761488792	-2.80624231773719	-0.886744946130044	0.419427517213503	-4.50580475959257	0.999830135682206	0.110074489452237	16.3686565204363	-4.28336746291725	4.04738152793836	0.282980912112851	4.47933706612714	2.10311635539833	-2.06856306979378	-0.129951287819444	-3.93821163722815	0.768149485055612	-2.52623770825619	-2.27740846958297	0.804341007031469	5.5018781148684	0.403693118543508	2.76577760906485	-4.80125482787461	3.85672664518075	-3.18158765927437	1.95570222376938	-2.56501977885238	-3.39620560222507	-0.292889552120246	0.346120763613967	0.143438922083756	0.317610568526198
SRR12823343	SRR12823343_1.fastq.gz	SRR12823343_2.fastq.gz	Mexico	SRR12823343	-103.020437867167	-17.4473119882807	97.8376090934213	-59.9960884271622	-36.7218103780764	-8.08989621948835	-19.8777931998685	-17.0086443413339	-65.4994293661398	1.39597849552273	-58.0741769484125	-18.3963503835749	-25.2865469288966	1.73434496567264	-36.8128819284386	-38.833780262773	-28.8233184990394	42.1482290574235	9.12905059524262	-37.0507250810216	-18.5764961090588	13.1272519072322	-70.1563405554192	-4.1469799191088	3.2720674241067	-40.2090295868394	32.3932409113648	0.1661544233019	14.5301311464465	12.7869300519345	3.43205650762322	36.5117414959628	3.38505964462951	-7.12736695195657	-0.64950330930549	-9.09584973509765	13.25462766134	-3.40228515247997	-10.7308183843461	-13.9421879663202	-27.9620289619724	-0.0629113248322357	1.44526246435617	-1.0267728196178	-1.92248261800754	-6.52736845800612	1.0363340689471	4.89976829714499	6.51749938388366	-1.97148408297988	14.6498947885194	-10.4205159400676	-1.29990755427358	-12.7060203475698	2.17788223295132	-2.01507552515836	1.98031001557456	-6.02766327034012	-0.14621223993862	-7.45044967212864	2.74970593258614	2.48875230940924	-4.07968931537448	0.0108010918785468	0.969098100598887	4.24605583627101	1.32567529808908	-0.716944543801211	-3.343246756405	-4.8347701903278	-1.35816396465163	-4.06266673033402	-0.934154379739879	-0.316553117136014	-0.530191872293831	2.56995430115116	1.80112208834109	-2.18431465674154	0.039648937899805	2.09625826218982	1.81232599253822	-1.97552553791824	1.36807742208977	-2.42676872244533	-1.29360740262609	0.301877221562208	1.56258060539423	-1.51817337189863	0.237910476918914	1.51033910613801	0.395068882799013	-0.682434321785167	-0.467459023787851	0.157485836516002	-0.909616627871973	-0.841776536980927	1.48722892935818	0.609653656505761	-0.798285017624527	0.283770757084944	0.337168863108581	-0.453274671565851	-0.0243755370381134	-0.202019053883083	0.0816565652590705
SRR12823344	SRR12823344_1.fastq.gz	SRR12823344_2.fastq.gz	Mexico	SRR12823344	-4.07997600092959	-2.05434944325322	53.4571805729555	-27.7244079577451	1.60433591494149	-26.1423314344023	6.1110164803233	13.8882684048721	1.92741508819281	4.87103401140104	5.18146185658422	-1.27747872373957	3.21392064546558	14.9519187399791	0.315663520532781	-3.26642878109077	-3.68559879763107	1.70733823791365	-5.05383512465913	-1.5392180464813	-6.2238919375411	-1.0042283870094	15.3524838991903	3.16832341993273	-19.9752215901678	2.72190192890907	9.46188638674966	0.945072362792813	1.18915528065621	7.38033407486151	1.1111193186665	8.81792581199187	-8.56310390396566	-10.8510442953022	-9.09113538274514	-12.5739773823512	-7.98885560880958	-19.0008927202347	-3.45046537083387	3.1224427224864	-2.51652959309127	7.96260868444628	11.13225828068	-13.6054949514199	7.60067740492341	-3.58491546381225	15.0766425756819	5.05279314665306	-3.26792504539591	12.6530347830029	-7.08103508115071	24.8067065725725	-13.0621695800432	1.88542437757612	6.91791525903212	24.8129750155547	-3.91568852379856	8.84770856744506	-8.81216049736241	-12.9479028381525	5.34049434012648	-20.4193637926003	-2.41565501524022	-2.78901210101367	9.35598112355398	5.95549219485671	-15.3975046636465	-0.924984878430584	3.43387825246791	14.701273385808	-29.0176029208304	-5.88674625449417	5.423198424933	3.31562704922325	1.03355510352299	-10.9858434008835	1.97862378997601	8.63633517198793	-4.50814839786239	-5.71502502285507	3.76787955713833	3.084993146039	0.50093464917972	2.33931143476903	-2.24621708810751	-2.82109773988182	1.16226383476285	1.93788964023524	0.45582449764556	1.04433688557321	-4.54383251056325	-0.156669085479202	0.500373317203901	-2.07367155328808	0.439927394693985	4.08002623754381	0.034625546870571	-0.79308478006973	0.445786864742357	-1.50221304770417	-0.41818566563804	0.393295267623036	1.05260854894004	-0.0848231394510406	0.305017092271592
SRR12823345	SRR12823345_1.fastq.gz	SRR12823345_2.fastq.gz	Mexico	SRR12823345	-40.1702422028736	-128.032391779849	-62.9534880980248	-50.7833756189568	24.3517416199576	-19.5695170443079	21.9405345237704	-4.34828636073552	-4.2877420746001	-3.17994271173521	-22.6845745177978	8.07748478206867	60.52752293307	37.4457918754597	4.03115487529524	25.8685064222206	-10.9645108887824	-52.6440087782146	27.6536311372537	10.3253568869997	5.51809624339237	-4.36381118166921	8.27875770086291	14.1716373099121	52.1364145242363	-51.8357104863966	-6.21220806589296	-34.6836612784076	3.43968931136805	-4.38319029847537	7.85351361132603	-9.33674911388611	5.30472738169888	-14.22065196146	-8.21059784635285	32.2931242135742	17.1644136302092	5.45417511781199	-2.30287877906756	3.59570326110292	-16.5060041748084	-2.55250227793721	3.36357663011542	-14.6780007243566	-15.5011210441609	-2.35632623332753	4.29470680649945	-28.9561913854856	0.420233127853057	-3.01803013116235	12.251479282719	-7.77860428392741	-7.05544312148568	2.31578230714368	7.9957952444912	-9.00165758120739	-7.76771440182085	-1.20836396561942	-8.76351489640323	2.61152295937711	10.9062878284637	1.49109137267965	2.37477116574591	-0.483482382883394	3.90093947335758	6.71747362265516	-2.95926820294596	-0.708098474739696	1.05105766056769	8.50614260176331	2.73370576748524	2.92594838474799	-6.97661540919481	-4.48871614100252	-0.888619397436758	-4.21777888434893	-3.43416663573283	1.03756130365637	-2.81560448646024	0.0199567938508634	-2.59149340247724	0.899888560906868	0.470724292425798	3.66702655087619	-2.86094828500803	0.852794626726937	0.322850901698124	1.41723504402284	-0.261151191107993	-1.66183305201302	-0.393498258335542	-1.73609870653937	-1.95948392677939	-1.85652318777662	-0.141175658009877	1.73717208614368	-0.978279468380279	-0.298397627109096	-1.45240754964609	0.329460818402085	-1.05804170592331	-0.295838481202372	1.19803537089574	0.925317926744871	0.208695451868196
SRR12823346	SRR12823346_1.fastq.gz	SRR12823346_2.fastq.gz	Mexico	SRR12823346	-9.55130401775495	-85.1310705724663	-128.115437335294	-44.2926125539325	-24.0106234601996	37.899276364414	-20.7384133052421	-51.9620015174934	-4.95897054762161	-16.0419044792942	114.994498043631	29.0347630897332	-15.3837017266099	-17.296619490977	47.0939547295534	-47.423999434057	72.1479499955637	37.1318834013562	12.8293515847982	5.45330707005907	4.13622667304484	7.87349990020626	-23.1128302194669	10.358245076411	-28.526037728453	-12.5675536542157	8.59175691497546	-4.23155543762607	25.1137657245617	1.52000282295065	4.02933761527715	-6.54019666386867	28.8390004117363	-7.21557472411915	1.04516714590615	-10.7883781347768	15.3105615572049	9.34921456213544	-16.8109970698786	3.70565500793813	3.21880338495916	-12.5991012347861	3.3455187113765	1.80756419225372	-16.1568186018758	-3.54422674404733	4.82966946198222	-4.76616803899492	8.98896298500993	1.86091988241927	-7.04138540202588	-12.9611895152007	-0.17606143027147	-3.33507027061264	8.90405321003841	0.257606021741832	4.36051876326669	4.96029405308941	-0.614304374544056	-2.47245997909388	4.91625400231864	2.89831330020014	1.52748859966539	-6.02689745932816	0.660861089955519	3.20035132346547	-0.280873406373849	-4.01435185723206	-1.34141926441233	2.56834721795633	-2.11581011304874	-0.698124909956179	-0.526967337214448	1.30016033103238	0.984495494489641	1.4516780580433	-1.95169883407837	2.60806374624581	-1.24165820114822	-0.0493278479610469	-2.62864171297613	-0.74201268413272	-0.365294067543242	2.32487934108997	-0.835596012320386	-0.830375043752733	2.68216284808351	-1.12356574008069	-2.34556796058284	-1.17506861444855	0.206721438101313	-0.362181305987473	0.0335760220162845	-0.834069658643646	-0.870458471013517	0.676966583051303	-1.17423412267613	-1.20556510764733	0.679268247689954	-0.318041529604715	-0.980500262903423	0.0864748493090331	-0.148908919375802	-0.0283986589253962	0.164139295400074
SRR12823347	SRR12823347_1.fastq.gz	SRR12823347_2.fastq.gz	Mexico	SRR12823347	-80.4127425876124	-157.837179030025	-214.885458932081	-54.535757210309	2.41286645238229	-12.6722818614709	9.37250166122837	-9.87407196594102	-27.838751956267	56.0789998066347	-45.8621229745334	51.7250901639573	12.8584562182899	-38.1075037013231	-66.6898289192361	36.4759375690728	4.94795313612437	48.3994658472527	48.0987141683292	-6.93050112251704	-13.7539253112519	1.72894239024523	9.88651369374961	-5.48820684033007	-1.47199490490922	41.0387377245803	-18.4584833294886	19.5911372861908	-3.88069258360147	-0.498725022287318	-10.95392342342	8.58545952855008	-2.41552559981467	4.36066017451485	-13.9149603906978	6.42547855989644	-8.74061266356636	-2.58019707808903	-4.78595811808767	-11.9234204512715	-0.510574785582966	-2.89116325430325	-8.78018933281771	2.32337068840044	-9.0463194413539	7.02349133790966	0.448873553142336	10.3444369650036	-2.95512776559083	2.2257955006065	-0.231185268184382	11.1735916307405	7.71118667148048	3.65605680195601	7.60889872903392	3.60573120685281	3.63253932066522	-3.84844539930102	-2.45006501934006	-0.700017287733894	-0.354950742483165	-2.94904855087909	-0.957253028575816	-3.69215716712024	4.92576635392984	-5.52774511585927	-6.7321904073599	-1.66088260216137	3.33274196510065	-3.83660268332918	0.517347569604934	-0.782667431038594	1.76181782507085	1.59825612306319	0.157605811370713	1.11424495688502	-1.05561647261867	-0.384599129518197	-0.48610117048676	-1.06545935075834	2.31567703828675	-1.9848312102784	0.0505735413679942	-2.37892477279967	-1.32675948209929	-1.0985836464367	1.01071254202539	-0.102111879424199	0.0708308379163697	0.839671492652438	-0.375379365006598	0.384381369780618	0.494772258569719	1.16692897137345	0.0505681419956428	-0.686149873360215	0.0524039333156917	1.16902430951239	-0.160859766667026	0.422427114233517	0.341192699726328	0.204546765446557	0.498500467698396	-0.281123280759338	-0.0266074736125234
SRR12823348	SRR12823348_1.fastq.gz	SRR12823348_2.fastq.gz	Mexico	SRR12823348	-223.914594611415	-131.784883000593	35.8637057612823	123.201947379678	66.093215929108	-35.9407118798968	17.7577649903183	85.0927599543514	58.971395833583	77.6752149607715	-1.73814640618217	11.6902552726929	8.07039874580889	-22.2244342331043	30.3196097909434	-23.2191325304099	13.7903866637591	31.9822948192182	-30.624798269214	53.2024745021566	-6.12650958256935	-8.70082035339027	-6.66160027063364	23.2754625851724	-0.201359797224571	-24.8001727474948	-11.17970715096	12.861924801515	-1.26020717012782	11.433263617889	6.7927334508905	25.7013426758182	6.23028867518481	6.87537139305462	15.135945514703	-19.6529668816031	-1.08879181911922	-8.55518853161945	14.6104703479828	-0.920691064029086	-2.89518702148377	-3.51812234466789	8.3250049339253	-3.38358669268524	-2.03832500039715	-8.66496980742218	5.83104726148234	-6.73279035379346	2.30975875245635	-2.32044055176543	2.03082927131891	1.99091255340633	-0.286930293282709	-4.51165106725056	-2.99580207769335	-0.81610891294164	4.40713144616358	-7.25160586129053	-0.859613398679805	-4.30499525156474	-5.04386346928247	-3.71531426750725	-1.67731444759636	-3.60536263480883	1.4242444877627	-3.56512398998663	-2.67279149723589	-1.33540730286052	-2.59990626458034	-2.02352992395121	4.14983325759372	-2.88898606323167	-0.830717909646153	-0.289562608916084	1.49410361832246	-0.126970597305556	-0.689064454493773	-2.34137585893435	0.885265246608429	0.510099794163811	-1.43821924449188	-0.034318793087639	1.64967886222732	-0.650874155358983	-3.747486217592	2.94281986947275	1.64408930648339	-0.131154643794973	-1.42964790182355	-1.97622087109863	1.79255183936004	0.652562920460617	-0.655863739156061	-0.41154225943928	-0.573046438650285	-0.0345288127031782	0.0378403730768123	1.43901655344397	-0.388730174922045	0.115364243991508	-0.329606702211779	0.0722549755911615	0.368044730070933	0.017245206138551	-0.0777157946906415
SRR12823349	SRR12823349_1.fastq.gz	SRR12823349_2.fastq.gz	Mexico	SRR12823349	39.0141551470843	9.48193084886842	-11.7923543749432	22.0718846599128	13.4252080816409	0.343820006409745	-7.23075711599542	-9.56004241702656	-3.5848988024273	3.418754540928	-5.55503166020024	-4.2548089561836	-16.2977257441189	10.3189582961204	19.2235731319825	9.01136273301466	-3.84056979208991	8.72269640516912	-26.7335699523729	-13.2929826484602	-5.81545688498299	-6.92420102387669	-3.08893745316176	-11.0659911268223	0.20172467075428	9.81107069332886	1.76553917609585	3.76587252898763	-5.13226072082091	15.0325860186093	8.58166552917868	-2.29823906160578	-14.4143660910618	8.04405423519379	-15.6499458748885	-22.305367881747	12.7532748640055	23.8167442158387	-2.42870730569371	-25.4140875501389	25.7954976425204	-6.5823627832454	-21.6764445611753	-11.9360978351971	-7.00875279092916	-7.4673127627436	6.09467092210111	-16.6826660695444	15.1529373093643	6.8997452769777	-8.08933083006551	21.6953636651795	-5.56899760167503	0.558984480464092	8.74578251573397	1.31808881242799	-11.3050947804762	6.46526554017984	2.49541010784217	-6.45624504855452	6.56129114660198	16.3138516400381	2.4070926203588	5.24202526700538	-8.16311225976162	9.95235920074704	-20.5363339450471	8.70078555975381	1.33256916599008	-6.95556411951795	8.2713107157811	-2.63485579992145	-4.36605905802691	-4.84224542046792	2.06294823707226	4.64256894848022	-5.61056162051518	-3.25153760521304	-7.62669737061163	-3.50096159038114	0.410955836957791	4.62319710026277	5.92723177678836	2.6372134717163	4.01927064117881	7.87975151223006	-3.62320268104123	-4.26048664329746	8.23366292942801	-2.07722626446322	0.990519963145555	-2.76456256962297	-1.41363424983313	1.33776747008801	4.85849410175589	0.990827407254358	-0.133431826345126	-1.94052579518834	-4.57852390258646	1.19280571746328	0.869443788031201	-0.00783182812106484	0.504938002233945	-0.244251373024714	-0.0385213595414313
SRR12823350	SRR12823350_1.fastq.gz	SRR12823350_2.fastq.gz	Mexico	SRR12823350	-98.876261046138	10.1707835234569	8.69648817671556	15.3159688682565	-40.1884155926067	20.3669692997267	-24.9809679509303	-10.8268485703791	-97.418288485261	18.7125465520011	-8.61861154215159	52.4804174475815	9.02320340135886	41.4461995015429	7.46596457798799	-6.47588101106706	3.68754585403681	-2.28535567407717	-27.4281652636236	35.0501282649829	0.018118750531436	15.4308447537418	18.6666204925303	-13.3603494155236	20.720995046405	-35.9253376954481	56.2316929827015	68.9464893251531	-1.17314726836918	4.16034261702635	-11.0977469825849	-26.065629458427	-13.6707423904931	-0.92898718143589	-4.28489265131934	7.9776945717601	-4.3636421751265	-13.4551758540111	5.20033192156484	18.3525254615145	21.9492870229774	-1.73449591727671	-1.54735207543568	-3.05508069466124	-2.56899706428889	12.5017611783544	-2.98468442480755	-4.22404488602335	-6.27232573355617	-14.8411929933688	-9.28480981605238	3.97481971521493	-12.6563136476305	2.98032459066943	-0.724548783380936	14.9746056291055	4.74304868188101	-1.94294345118629	4.92970803552305	5.86779662755024	-4.38321136360126	4.22986520350201	5.26340875641966	-0.793968409988884	-2.27414006034061	-5.32007945919301	-0.544141491608747	-2.8238666879601	4.43656376405212	-3.83185017484227	3.73001051466333	3.55189665167138	-0.817718936616768	-0.36676026418613	-2.81735422256761	-1.39240109434697	-0.278827900359908	0.850929331267316	1.53552208284642	1.2716582888048	-1.99501125367081	-1.51922961806792	-1.53465658434392	0.953761853533919	-3.06420083239268	0.717637416098484	-0.802969916747154	-0.148114952798358	0.167589316648504	-2.35022441650699	0.531628786966932	-1.84320410988228	-0.228759490893637	-0.555476072565286	-0.15692209586455	-0.298302377945492	-0.752694500299172	1.26354816635297	0.288946635602788	0.264114345096763	0.469456624524025	0.261767090022475	0.125252858655078	0.107359064227957	0.00913922286973134
SRR12823351	SRR12823351_1.fastq.gz	SRR12823351_2.fastq.gz	Mexico	SRR12823351	-127.542161281156	-15.5145448514226	78.1598514723268	-34.0359956849344	48.9958615206456	0.328730005695439	-37.5583459928715	40.1017467375721	5.28652487085861	17.5807840190679	3.14897188143843	10.4452768203529	72.6519287530262	48.7295404884728	-2.37367377737069	-30.517855547943	53.4605963724477	-25.6692187522104	12.3172563740048	-57.5792451821512	-10.500611734187	21.0334917602705	34.7895567062302	-9.60850760452917	-9.12051174655707	64.6122698366729	29.6308535301538	-3.00734666302718	30.1483936038301	-13.2207015597914	10.1777607900483	-8.68959163462581	1.85863652207065	-11.2470910653692	9.90359977350349	-5.10310383644413	3.37253572745598	12.8698027419835	20.5312510274559	-5.9879741190788	-3.15956548660619	4.11347185672418	3.5857577053215	2.70769599996609	13.0751418695158	5.61103024768156	-1.76731063859759	1.88871326959432	3.99361132915574	1.08511441865933	-1.26626939568293	-9.48278891598187	6.25594756155082	-4.88109125711968	0.322075581626548	-0.104045966920919	3.97419090264568	-5.73469993108311	0.845417440362165	3.0084212088113	4.80426596926147	5.26762033522279	6.80384369065819	-1.84710208473319	1.56969101969381	0.657529525068713	0.217822740237136	6.30003221473425	5.3157822584277	-3.74423267691914	1.738539627623	-1.43752814272812	-0.235270805665622	0.177112094695906	-0.549761770789189	1.74416004289913	1.38828527584089	-1.39525675530915	0.0148404844289493	-1.66534206260315	-1.40285711961689	1.02773365643841	3.17658899908116	0.798055483568854	-1.25284506732655	0.738055853331945	-0.4879642749025	-0.236573604194383	0.0146975452033827	-0.867282972120719	-0.924313380352255	0.0964412862993148	1.14117214406983	1.58889792251998	1.49394166232395	-0.76589936456338	-0.038533095340821	0.343682176076372	-0.105464259996177	-0.407053438194394	-0.220179258030003	0.0876648825915541	0.0805330174204249	0.367183004547834	0.02744076713168
SRR12823352	SRR12823352_1.fastq.gz	SRR12823352_2.fastq.gz	Mexico	SRR12823352	15.9897236266368	-22.1710747074605	27.862449930911	-8.24928710661035	-0.837104230920985	-8.91990798130232	-0.558955000551162	1.40842161529507	2.37862477275873	1.83432634190501	-2.16816050063666	-0.778493749989536	4.60818886664971	-2.12338300274993	-1.36061074614147	0.265847080883598	4.0556268706925	-1.98088407273716	-5.39996090860396	5.34062109697163	-9.47280571975294	-5.23249788928211	-1.58296484721509	5.42656464409703	-0.334824664864401	2.5042221213493	5.28528434340554	-7.29746777385433	0.2579103371972	-4.20177974240832	-1.07495074769815	2.54454131644919	2.79231145017496	4.92570097499216	3.75703033611284	-8.54871617058669	2.4772357151534	-3.27424001857792	7.96450794150659	1.60691744634507	4.2580225359439	-0.669358550220399	8.47469657371873	1.21739098255615	-2.40034289846662	-1.36836586465824	4.42470130571723	-1.81178191552965	-2.43345111050233	-5.65774706447445	5.73069037918298	-2.75722403429177	1.33281365409805	-2.98777073351891	-2.66689924574016	-4.54207814427512	-3.48822100701064	-1.29614511581647	-4.86694904700374	-6.59891233779968	-7.10896862563336	0.441053295301205	0.772632096097574	1.59734092949724	1.72731242549257	-1.07290991962672	3.01320516707197	-0.381242855024202	2.56845783272449	1.5056070643837	-0.238474728919442	0.534295720932529	-4.74419542162506	-1.5045413269683	-1.70305378303588	1.84207405358038	0.0503302484952905	-4.30416093808554	-8.72473010425028	-13.6603312475039	2.55600789957576	-2.85171425584738	5.94218924078591	-5.04596189453528	-5.23366136051672	4.44064061978895	2.07014959718832	-0.857975811353611	-4.19352750254645	-3.03563243626604	-1.73603048411279	0.135080268461886	-7.98318396678928	-2.93619596791255	-3.6932576275195	-7.96537984490291	2.06152314337639	-1.88637496326968	-2.26452913533437	-0.196503292827281	3.88469632234901	2.45794997413664	-1.11469561608578	4.68509259358808	-0.173968373724975
SRR12823353	SRR12823353_1.fastq.gz	SRR12823353_2.fastq.gz	Mexico	SRR12823353	26.3179133474283	-23.6698794728438	41.4296170174696	-8.74454377561865	4.4087957689675	-13.6289637074776	6.23029545703171	-2.45078289580589	1.54930605631813	2.00029593242162	2.48488433239324	3.3966571932602	6.79430519706933	0.608338163903133	1.24021355403605	5.34163289451571	1.61486463813778	0.228837849674272	3.05265692852194	-0.242896323795118	-6.02903106592684	2.04046475088581	-6.6971723428197	-3.46496267976223	-0.9262254552339	2.90062637542196	1.73081461199017	-6.99320686836939	-3.51968385564103	-2.34249246746002	0.228654990897244	-3.78456253429533	-3.25533630679613	-0.969296883968453	-4.64143604295327	-5.4458894165199	-4.87799009954152	2.08138450458204	2.77509567649695	3.30473239869951	-1.2467528494997	-5.12378221642304	0.604719852034899	-1.75904884030902	-1.6723168262166	3.26829196587238	5.23101655089902	1.38231915191212	0.303519045863806	4.26036727296173	-0.190939155070063	4.22822593474539	-2.07631900323578	0.8684196420126	3.98203249166604	5.2080339288547	3.79533836397981	-4.84960137832416	1.33521371876586	1.52496301343848	-1.14613059979495	-5.04623169564628	-10.6050803870565	-1.46388206963923	4.87148118208008	-3.38704999750663	-3.30783310791264	1.85081164548569	6.67299174178386	-1.39791288582024	5.35672061697234	0.0238121245605396	0.22595526504339	-3.21806327682244	9.03504804592607	1.1781962804573	2.90144985723329	-0.148140408937858	-0.57837909220916	3.33268988202117	3.00857654501801	0.148725348433714	-2.40715997872013	-5.00369914573787	6.9564476483853	2.93234228080447	-2.56561423026592	-6.70158325881202	1.59884368620105	0.391579621224425	-1.65207111650875	-5.577239137897	-11.3139065258189	-6.33012791231365	-0.912035960849146	-2.02298519489747	-3.36638059633901	0.933159082693659	0.700291167993648	-4.02083041932371	-3.63248297670864	-4.81208328704013	-3.56264433988702	-1.24522459430036	0.658693964231735
