SampleID	ForwardFastqFile	ReverseFastqFile	TreatmentGroup	Description	PCo1	PCo2	PCo3	PCo4	PCo5	PCo6	PCo7	PCo8	PCo9	PCo10	PCo11	PCo12	PCo13	PCo14	PCo15	PCo16	PCo17	PCo18	PCo19	PCo20	PCo21	PCo22	PCo23	PCo24	PCo25	PCo26	PCo27	PCo28	PCo29	PCo30	PCo31	PCo32	PCo33	PCo34	PCo35	PCo36	PCo37	PCo38	PCo39	PCo40	PCo41	PCo42	PCo43	PCo44	PCo45	PCo46	PCo47	PCo48	PCo49	PCo50	PCo51	PCo52	PCo53	PCo54	PCo55	PCo56	PCo57	PCo58	PCo59	PCo60	PCo61	PCo62	PCo63	PCo64	PCo65	PCo66	PCo67	PCo68	PCo69	PCo70	PCo71	PCo72	PCo73	PCo74	PCo75	PCo76	PCo77	PCo78	PCo79	PCo80	PCo81	PCo82	PCo83	PCo84	PCo85	PCo86	PCo87	PCo88	PCo89	PCo90	PCo91
SRR12823316	SRR12823316_1.fastq.gz	SRR12823316_2.fastq.gz	Mexico	SRR12823316	-0.428379652830059	-0.0193489624335907	-0.172468401049062	-0.138502721742517	-0.104273516653838	0.000037670446522111	0.084262522078176	-0.0727318453744192	-0.0567535464693258	-0.0128376061526731	-0.0356694040370255	-0.0276360408100324	0.00993697284226474	-0.054051489502849	0.00695068987711673	0.0334712559021041	-0.03790975802822	0.067023610152846	0.00697382549371943	0.00228031257839348	-0.00664755474837111	-0.0226467636059455	0.0239263806248027	-0.0149045521242196	-0.0138418523089877	-0.0230274255606375	0.0238192887421949	-0.0128860098673564	0.0173895810394164	-0.0247752298363714	-0.00670762683803367	0.00998467926369616	0.1065946461151	-0.0399740673308833	-0.0344500202295017	0.0331062432401146	-0.0148550440470365	0.00520724491932068	-0.0770377894280696	-0.000048845496753796	0.0453801636875342	-0.0609601030160556	-0.0405275232355841	0.0332976650765427	0.0518688377561993	-0.0516319733858483	0.0736770999593934	0.0596333216801952	-0.0115502968175169	-0.0676308998355187	-0.0316707469714034	0.00340025891878114	0.0250176286370966	0.00206592575844121	0.0151497888281007	-0.0450852458914481	-0.00351135629281354	-0.0426942627282871	0.0442105048780707	-0.0144701618871459	0.0123332390732924	-0.00677719225859253	0.0435711107780865	-0.0256493932120954	0.0396257345791959	-0.0143063694759214	0.0658285654536674	-0.015787675552558	0.0241030527250213	-0.0166538873050498	-0.000798685960772944	0.00000235598545933116	0.0150909297827526	-0.0286276738439272	-0.0232684684572269	-0.00527547237121201	-0.00128895002711645	0.0344171627820236	-0.0165415796734932	0.000934138374509699	0.0075775796376004	-0.00976478898006068	0.00620045554465611	0.00318426910408028	-0.00708547820347277	0.0114406090690207	0.00239910353787558	0.00505598072005082	-0.000803545659496985	0.000765539484883795	0.00382734074272134
SRR12823317	SRR12823317_1.fastq.gz	SRR12823317_2.fastq.gz	Mexico	SRR12823317	-0.52193811167495	0.0435667943849543	-0.174536083481367	-0.0789324581640328	-0.0401063545280491	0.000536995237847305	-0.0275934914970743	0.0122849332785297	0.0427697671029389	-0.023438914216354	0.0793804232513049	0.0328479886738243	-0.0278733782964148	-0.112396458704675	-0.0435060989698702	0.0651727246371173	-0.087901632853414	0.0623386987625301	-0.0364287630700863	-0.014746583009242	0.0283388844955149	-0.023065540343504	-0.0752219559346959	-0.0137278902359972	-0.0551578332085072	0.0316294874907869	0.0120974622369816	0.00675602052132113	-0.0248960718648466	0.017726436160602	-0.0137381350339684	0.0304540319706953	-0.0363572584155165	0.055582542233274	-0.0304932181909121	0.0339016573954385	-0.00758692565594667	-0.0160288322851774	-0.0157227632811354	0.0253103355324783	0.00374289300469454	-0.00579136051978776	0.0490171677965641	0.0133941654033647	0.0111322926271402	-0.0284194850512581	0.01759862334022	-0.00900842058141791	0.00898270009574003	-0.0110202135114887	-0.0345834394911554	0.00667588336867082	-0.0200205424365556	0.011519853903243	0.0120111769481063	-0.0200775849865129	-0.0427907113640579	0.0362414060801034	-0.017077129161638	0.0490821772964504	-0.0484270978561128	-0.00899611482793052	-0.0175899131699874	-0.0363039301109238	0.000142788290878045	-0.0354943623131688	0.00615603001127023	0.00649912600783597	-0.00689673893229817	0.0119088819990892	-0.00632239108772403	0.041579336979635	0.00612411346412629	-0.0214300342525864	-0.0272535384334147	-0.0211628698431058	-0.00695004162675808	-0.00606570772805615	0.00970561028790945	-0.0125143081631807	0.0123264940239109	-0.0101948927855751	-0.00611222539085708	0.00991087007117157	0.00803545056445059	-0.00100556857610162	-0.0113265153294798	-0.00665994796987503	-0.00170568788739836	0.0016583481754798	-0.00374720576692508
SRR12823328	SRR12823328_1.fastq.gz	SRR12823328_2.fastq.gz	Mexico	SRR12823328	0.276737923451256	0.0853006319577762	-0.119500096731439	0.154708512666369	-0.0483757412786667	0.0719077278439029	0.183417596313856	-0.134153710747944	0.384111581503464	-0.0302587719476879	-0.0944210457258719	0.0363546407925746	0.0977404351839518	-0.00750299857157572	-0.0481559164887425	0.015205076499751	-0.0144845267701198	0.00219175847952841	0.0770502269998319	-0.0398690365001908	-0.0206578813144955	0.0205772304079152	-0.0285014095670137	-0.0207719755704409	0.0607358888176116	-0.00840932314872638	0.00733254366176504	0.0104884490694162	0.0321762523961179	-0.0336232721232914	0.0198793665920174	0.0328086021070435	-0.0575177893014952	-0.0372645348462616	0.00229712655562873	0.0253106733996599	-0.00969033268257816	-0.00204289665869822	-0.0142031544129499	0.0374435253150291	0.0118856048547629	-0.0259160297920442	0.0190243327392305	-0.00407167609867867	0.0099537763217	-0.0115717255801401	-0.00281319051629294	0.0175409439875064	0.0226897918910111	-0.00720108833946172	0.0250144894386003	0.0311267957906381	0.0141726747256838	0.014280222312405	-0.0440431115301255	-0.00450006975279104	0.0103973739011387	0.0125449025902082	-0.0151565624797088	0.0161927100055778	0.0263750858933788	0.00750094447207512	0.0174250310146457	0.0021896699837365	-0.00372698752273828	-0.00528034090687532	-0.00000160830259014787	-0.0160727040433343	-0.00346270057649705	-0.00141759439360195	-0.0122697792264568	-0.0185659659931961	0.00654069094980431	0.000541899740313184	-0.00829445878772535	0.00389315391450631	-0.0042491057121416	-0.00201418721876895	0.00406026118284832	0.00185083448592226	-0.00747981408541457	-0.00439559364740172	0.00304431308720149	-0.00187138014290956	-0.000566845407939427	0.00020339815378294	-0.00333909862005634	0.0007296632008531	-0.00128363091220858	0.000109085356143054	-0.000476940696781822
SRR12823343	SRR12823343_1.fastq.gz	SRR12823343_2.fastq.gz	Mexico	SRR12823343	-0.119255451744343	-0.325593476436658	0.0604348836270618	0.0924438231422891	-0.104400443415723	-0.212440253637092	0.0360401344516601	-0.0840831301388077	-0.044463666736572	-0.0202612484412095	-0.0558301850348279	-0.0478260506483762	-0.302110660485847	0.0324181452788862	-0.00916129554020599	-0.0294291386117644	0.0949918686388277	0.0523223675409265	0.0771478939360462	-0.0972173958375373	0.0246488985019574	0.0294713668953222	0.120612459016141	-0.00699429120892446	0.00931492795596569	0.142256105615764	-0.175211008351676	0.087012476441572	-0.0399083525235831	0.0416866545031252	-0.0509239832603974	0.0115898805296574	-0.0527366285621569	-0.00897700938043156	0.0334238723593553	-0.085938400485838	0.000990358325805559	0.00647686877207275	-0.000867438895479237	0.132623252680497	0.01357849534515	-0.0351783749259378	-0.0278255144217845	0.0398181319879283	-0.0592791267060944	-0.106359629823193	-0.0162486918692561	-0.0220962272785024	-0.0713299131311534	-0.0180983945838299	0.0585116754309298	0.0229908226537986	-0.0320529524764983	-0.0101188192051478	-0.0370787078197703	-0.00999780990514858	-0.00305803798809862	0.021714392194205	0.000648125978400613	-0.00377989782657682	-0.0123615776901266	-0.00731221632510169	-0.00842979560566759	-0.00341860301111585	0.0123153020459586	0.0116482575262138	-0.00449211396975956	-0.011040369528263	-0.0159297971685085	-0.00482224407026647	-0.0045037094487372	0.00977226863033183	0.00629182258853377	-0.00313721176033842	0.00563957543793755	-0.0117739067766518	0.0102590166974974	0.0064174114719609	-0.00473561379720339	0.00453974670731667	0.00287442380635339	0.000223063301346821	-0.000539229499016315	-0.0000356157943260686	0.000737176886772072	0.00195575052974829	-0.00403688919240381	0.00248457150276264	0.00068137135780815	-0.00148177563847471	0.000818619842649102
SRR12823344	SRR12823344_1.fastq.gz	SRR12823344_2.fastq.gz	Mexico	SRR12823344	-0.533325578223157	0.116372623688892	0.0910078207584594	0.103154683147234	0.0436814548863817	-0.0135938115086822	-0.0735709880945681	0.0551530559050804	0.0724696412659297	0.0667075104165481	0.0127569894364344	0.0383606633874953	-0.0171474067942306	0.0791578080376963	-0.000241518043995139	-0.0369950763664435	0.0388546119278883	-0.0546070215626222	0.0223563609522696	0.0171246104855924	-0.01924138219909	-0.0205159377119952	0.0693759163264542	0.0196680470805404	-0.0238623509639529	-0.0214986588834056	-0.0400351531411176	0.0357410095257533	-0.000903719739144584	-0.0231036356698758	0.0283757640347532	0.0155477542451641	0.0139876370283624	0.0410350961384507	-0.0358690646739539	0.0213672016054251	-0.0217018338853357	0.0143737530139509	-0.00878744796654328	-0.0143528096602093	-0.00093239052469534	-0.00935877674312866	-0.0248964487570565	-0.0049777130249061	0.0190605785588087	-0.00210686475322347	-0.00163039964493424	-0.0298692829895982	0.00938899086781282	-0.0204597090649752	0.00714391540992409	-0.0114836280698405	0.0317673065336279	0.0140321513007606	0.00436694299715329	0.0273730448463609	0.0158246087945863	0.0294772032902476	0.00316746447449846	-0.0179068041719576	0.0119928633662904	0.00990418551033256	0.00579588525556458	-0.00290833506575216	-0.00806748501306922	-0.00731027165170255	-0.0232285338788545	-0.0134680957741482	-0.0300027030985626	0.0209626540791362	-0.00857045124909808	-0.0208402862738215	-0.022524410743263	-0.0206680554346952	0.0313376971374275	-0.00794931092723971	-0.00264845570275648	-0.00843101848055152	0.0294658821812862	-0.00441603065867324	0.0019844154097942	-0.00570557159793341	0.00551811375852683	0.00909538019722723	-0.00566962359711581	0.00572067871850397	0.0142815407772261	0.00625403974534528	-0.00144807072973929	0.00903080544248777	0.00847670926918152
SRR12823345	SRR12823345_1.fastq.gz	SRR12823345_2.fastq.gz	Mexico	SRR12823345	0.0980398087151597	-0.291882181657118	0.172313158279867	-0.169631859568405	-0.000424789352960729	0.23608207789389	-0.302169258613279	-0.00822162174884807	0.0642547666168398	-0.0859527542062684	-0.2163191367888	-0.016418444942787	0.0449043342613432	0.00879619145637907	-0.0388248967397029	0.0160845064632254	-0.010782853697724	-0.072204110248373	0.0477253885221378	-0.0608932827020159	0.15309794925048	-0.140230755756295	-0.0552333617792443	0.0480060404322756	-0.00733870634018555	0.00672148133273225	-0.0471532906701166	-0.0117162281637055	0.00309238755447632	-0.0237386113684969	0.00797557397645037	-0.0360134027561772	0.012732561852606	-0.022365165676867	0.00132056808292162	0.0111628828946628	-0.0106453965966924	-0.000827901395760322	0.0102766324564687	0.000587691463839023	0.0182798211016138	-0.0106883552090148	0.0290860789503556	-0.0273425659289054	0.0356986672125014	-0.0145903126063961	-0.0312222760057333	0.0131148022221272	-0.0288975566854734	0.0142310614524478	-0.0454299917454285	0.00799729948998597	0.00128130671021058	0.0230226919240588	-0.0240419100977977	-0.00108920571980192	0.010656843100997	0.0111762312286443	-0.00749564912635378	0.000745149066814002	-0.00132233723210734	-0.0179200121186758	0.0115261076475543	0.0198226360017807	-0.0304984169285851	0.00523328542810015	-0.0120922632359157	-0.0202006612362685	0.00857440566205525	-0.00148395346023965	0.0150118848823355	0.0296564440060784	-0.00712521784221977	0.0215412834931913	-0.0124002539126676	0.00026921022633326	0.0263369638335191	0.0111586253155657	0.0147673320427753	-0.021931237751527	0.0283506999463869	-0.0246615102682412	-0.0342037488928371	-0.000762421436661566	-0.00839460431647504	0.00282218526066236	0.0030567936556445	0.0028674585067661	-0.00146190693535707	-0.00312291784145211	0.00188730744435256
SRR12823346	SRR12823346_1.fastq.gz	SRR12823346_2.fastq.gz	Mexico	SRR12823346	0.14472794530876	-0.21877288164877	0.230272771031596	-0.0957007352770977	-0.0193054124498652	0.0131719467909998	0.00719823476612561	0.0157506811766139	-0.0432793980812982	0.0675784699759897	0.0457754533669408	-0.215011463426365	0.0305836178134887	-0.0566915233650632	0.0514437208209992	0.0713634693305141	-0.079859665768881	-0.0544162820705228	-0.0620673047528181	0.0237413895456336	-0.0425715647698945	-0.000683090284779712	0.0164949181922972	0.0666373876894052	0.0212003449550816	0.0549345446086597	-0.0131649845777389	-0.0110643737172852	0.0510635712296899	0.122421972646867	0.059438911464746	-0.0131197630307488	-0.032352683899468	-0.0598161422808686	0.0917166333698945	0.0967089405013774	0.0999599162383868	-0.0129777907218859	-0.0988237402135971	-0.044109449224779	-0.0922351476653672	-0.0538959527973044	-0.0345994240764	0.018220620161143	0.0555306766095651	-0.00537919825777469	0.0261746698959208	-0.0232676904164279	0.00693942092435288	0.0214087631555391	0.0759839356538461	-0.00267677548296633	-0.007591503961816	-0.0402685340737875	0.00133740748153311	0.0144254462478867	-0.0152877443839582	0.000626956163249258	-0.0199228373306265	0.00931785716862727	0.0217030254733022	0.0386106204030137	-0.0153143207780739	0.0139614746475509	-0.0155211315679757	-0.0155029179333384	-0.0056980886606105	-0.0372023505571458	-0.0117644006579262	-0.015399902026178	0.0350488613073813	-0.0203453522999472	0.0299091262696418	0.0019280157602051	-0.0124103447438223	-0.0190678189214388	-0.0100619968352137	-0.0237410693788542	0.00234543440414796	-0.0119654356357682	0.00414136301069127	-0.00352994219553303	-0.00148697705541952	0.00474239599970496	0.0127817255706332	0.00981605939810908	-0.00597727943789868	0.0102880603847801	-0.000920651133168974	0.0014718235593131	-0.000338401264461999
SRR12823347	SRR12823347_1.fastq.gz	SRR12823347_2.fastq.gz	Mexico	SRR12823347	0.134984075943243	-0.240391835404479	0.230333645822315	-0.125467131957351	-0.0937957767278731	0.0556212214479347	-0.0257173905984267	-0.0560032983008133	0.00297586455544895	0.0545156562430791	0.116402991760089	-0.107078181223105	0.0619199254170113	-0.0911452571900046	0.143347829435854	-0.0454782834261293	0.0013336711668363	-0.0517826648025783	-0.120775484153197	0.12397697417488	0.0140517009712002	-0.0102739646845643	0.0244862414809703	-0.026556723448472	0.0623029366216725	0.0433434911642138	-0.041811755847996	0.106168485824181	0.0396862870928195	-0.00291341455917341	0.0150138874768022	-0.0388209078263576	0.0296597075615503	-0.0607840734586912	-0.0648098557367927	-0.00637523375993224	-0.109515450311778	-0.0294261920589711	0.0313319615826164	0.0361605574837802	0.000300085907748772	-0.0757669683207161	0.00000985607180614565	-0.0285578567947289	0.0598261423950551	-0.00397104484081108	-0.0438172921696453	-0.00000730223111583798	-0.0814525229725647	0.0472616306356007	-0.0558562843908726	0.0672196883631043	0.0643838363051141	0.0165775595303872	0.0249960220363359	-0.057539005705311	0.0113866183384187	0.0281513117897772	-0.0388544124112324	-0.00212753670169562	-0.00564337256231265	0.00416251650049738	-0.00437485333637088	-0.00928809124512231	-0.00496069597432507	0.0223268411379034	-0.00741042668242906	0.00741053876997313	-0.00744595549110176	-0.00795427267335079	0.0237805498562771	0.0147906202458568	-0.0230743889611037	-0.000635623005804074	-0.00127338815926595	0.0213184812552984	-0.0184649952874197	0.0131896556035691	0.0211895837958932	0.00485875177674745	-0.00740310834971296	0.0121792552454646	0.0105406214999678	-0.00618037156074734	-0.00275631375361739	-0.00292019205253975	-0.00784870761862948	-0.00196751131454534	0.00180195905803163	-0.00025070361532596	0.000239842111031554
SRR12823348	SRR12823348_1.fastq.gz	SRR12823348_2.fastq.gz	Mexico	SRR12823348	0.0603487201703326	-0.306610470344995	0.0642909801546403	0.0782881559630202	-0.124667104702498	-0.203816724863989	-0.109527844700298	0.0583842299018506	0.0587792147456715	-0.0340947848584377	0.0046882221820536	0.0408194984630916	0.27411131499845	-0.11167100293486	0.0633326879116591	0.0581600628589809	0.248507372187077	-0.0303536854067687	0.0491877782907123	-0.0239208057437743	-0.0100740574608435	0.0766504952516544	-0.0206442854096741	-0.0920511877872809	-0.123356049372513	0.0427695980860982	0.0934148831946139	0.00154488665941231	-0.082125602457005	-0.150030954951618	0.0268023136920657	0.037292768752404	-0.00855808187063399	0.0154949445186472	-0.0457862237709555	-0.0865779435399193	0.0841398546556621	-0.0320970748747825	-0.0846589434678077	-0.0887837207387126	-0.0431453292366818	0.0306629871171541	-0.00591761442477137	0.0238179946471385	-0.0358199297826899	-0.0269933675467414	0.0535491932495914	-0.0534912062404416	-0.0813433557367342	-0.00322601159206448	0.0410127057409271	0.0346428511635342	-0.024117232836814	0.0182989097465136	0.0366050181199286	-0.0404134933865354	0.0247630540883518	-0.0093475942493554	-0.0264179521559979	0.0127438675632633	0.00484143627940487	0.011886624583114	-0.00836708317364329	0.00189041261980056	-0.00114330489440314	-0.000440214090168416	0.00550483080108785	-0.00598625613214946	-0.00229946826473409	0.00246173561633877	-0.00100366750279663	0.0119588069104909	-0.00209047322827716	0.00808456919606387	0.00276476084846468	-0.0022112830815926	-0.00695325601417364	0.00230858034192878	0.00131037059391391	-0.00363080516974857	0.00133948116416461	-0.00000366385443379054	-0.00284508222951365	-0.00102606582834789	-0.000838790023981484	0.000705075988455687	-0.000856136632533492	0.000217552584876041	-0.000522318184430137	-0.00022838052633502	0.000601951180596152
SRR12823349	SRR12823349_1.fastq.gz	SRR12823349_2.fastq.gz	Mexico	SRR12823349	0.2979760485559	0.084217911346683	0.0228796068312897	-0.0576539995611082	0.00992195892251397	0.0427678740626177	0.0688962144286671	0.243418852580267	-0.0354682392131257	-0.058511512157446	0.0419399818019341	-0.0345062396788673	0.0585847829232952	0.0409984238479725	-0.0435569778591164	-0.0286897616530703	-0.0711601474402746	0.0352584001471039	0.0243950161510896	-0.0024840324117376	-0.0156618602226382	0.0617019286876431	0.0484985083761359	-0.0674698079403391	-0.0197451564771374	-0.00899677937818097	-0.102667100415547	-0.0172901911841349	-0.0425699443565586	0.0624267446785188	0.00279475310841978	-0.0724031426331959	0.0175758812908216	0.0732987520512496	0.00414523846523628	-0.0780811823525656	-0.00338583932864172	0.0367904128953303	-0.00690440654062371	-0.100314133625252	0.0571541856311002	0.013646575838361	0.045593411191393	-0.0518259843974929	0.0119644348799419	-0.0116050942322922	-0.014158281910608	-0.0283244599827687	0.000879811192005838	-0.0026963757459602	-0.0119267214171818	0.0265606670273858	0.0101806150517729	-0.00911171864221091	-0.0384583244520806	-0.00798081531363551	-0.0011398417353094	0.0534514878437186	0.00121548713533735	-0.00767442707936532	0.016884573745871	0.00168895077486201	-0.0537565607622995	-0.0284959707059395	0.0789424876168819	-0.0411689806549591	0.0180654641797617	-0.00436838351951225	-0.01258580905485	-0.0310645679675283	0.0359129093918352	-0.00170897547642905	0.0185243377338369	-0.00469200710874324	-0.00823438076632201	0.00573848587647843	0.0159088404195629	0.000740967231157495	0.00207192613524033	-0.00114471140031093	-0.0150293539514786	-0.0177140009534744	0.00936868166019796	-0.00561367701703879	-0.0122668178651074	-0.00439473436639035	0.000400667496019845	0.00712318578034305	-0.00685891221259846	-0.000693083707076367	0.00271406909411751
