	SRR12823316	SRR12823317	SRR12823328	SRR12823343	SRR12823344	SRR12823345	SRR12823346	SRR12823347	SRR12823348	SRR12823349	SRR12823350	SRR12823351	SRR12823352	SRR12823353	SRR12823354	SRR12823362	SRR12823373	SRR12823383	SRR12823385	SRR12823386	SRR12823387	SRR12823388	SRR12823389	SRR12823390	SRR12823391	SRR12823392	SRR12823393	SRR12823394	SRR12823395	SRR12823396	SRR12823397	SRR12823398	SRR12823399	SRR12823400	SRR12823402	SRR12823403	SRR12823404	SRR12823405	SRR12823407	SRR12823408	SRR12823410	SRR12823411	SRR12823412	SRR12823430	SRR12823431	SRR12823433	SRR12823434	SRR12823435	SRR12823436	SRR12823437	SRR12823438	SRR12823439	SRR12823440	SRR12823441	SRR12823315	SRR12823318	SRR12823319	SRR12823320	SRR12823321	SRR12823322	SRR12823323	SRR12823324	SRR12823325	SRR12823326	SRR12823327	SRR12823329	SRR12823330	SRR12823331	SRR12823332	SRR12823333	SRR12823334	SRR12823335	SRR12823336	SRR12823337	SRR12823338	SRR12823340	SRR12823341	SRR12823342	SRR12823355	SRR12823356	SRR12823357	SRR12823358	SRR12823359	SRR12823360	SRR12823361	SRR12823363	SRR12823364	SRR12823365	SRR12823366	SRR12823367	SRR12823368	SRR12823369	SRR12823370	SRR12823371	SRR12823372	SRR12823374	SRR12823375	SRR12823376	SRR12823377	SRR12823378	SRR12823379	SRR12823380	SRR12823381	SRR12823382	SRR12823401	SRR12823409	SRR12823413	SRR12823414	SRR12823415	SRR12823416	SRR12823417	SRR12823418	SRR12823419	SRR12823420	SRR12823423	SRR12823424	SRR12823425	SRR12823426	SRR12823427	SRR12823428	SRR12823429	Kingdom	Phylum	Class	Order	Family	Genus	Species
seq11	130	0	6392	0	0	0	21	131	4	3	0	0	0	0	0	0	1143	0	2	6033	0	0	0	0	29	4	0	79	0	0	0	0	0	0	5	2	5800	0	19	0	821	949	42	0	7	17	0	6	10	0	0	0	0	0	0	155	2	0	7	2	5	10	4	11	1979	65	4	0	7	33	8	0	88	810	0	0	2	0	0	0	13	0	12	1240	0	0	0	0	0	7	0	135	992	0	0	4	249	80	48	3	0	1827	0	0	0	1	0	11	0	90	0	3	0	0	0	3	3	9	0	37	94	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast			
seq12	1028	1153	1	8	70	0	0	0	0	0	0	0	1	1421	0	0	27	588	0	0	0	0	0	25	0	2	15	0	2	0	13	94	2	0	1187	1	0	3	0	20	7	5	0	0	1	2	0	0	0	0	0	0	0	83	0	0	0	0	10	0	0	0	0	1	0	0	0	0	6	0	1	0	0	0	207	0	2	168	0	0	0	0	0	0	0	0	0	0	0	0	2959	4438	0	6	838	4	0	2346	0	0	1	0	1088	2	0	0	1491	0	0	5	318	164	44	3	35	0	0	19	0	0	0	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Anaerococcus	nagyae
seq13	4	0	0	16	0	0	18	97	4	355	22	0	0	0	7	13	0	0	2	60	1	132	79	6	32	107	0	1	0	0	0	19	0	0	3	41	53	188	65	11	9	5	0	0	76	219	101	8	28	29	0	0	0	0	124	83	80	2	142	21	143	39	1	95	489	0	849	312	10	3	136	0	15	609	3	117	195	6	183	0	162	880	920	380	1677	0	0	0	0	32	1	2	7	826	0	65	1027	1101	191	79	6	225	9	93	0	49	4	121	5	37	0	10	659	29	1119	801	520	16	25	341	111	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	flavescens/lactamica/meningitidis/mucosa/perflava/sicca/subflava
seq14	0	0	0	0	0	418	97	81	0	39	21	1	0	0	10	0	0	0	20	0	0	0	8	5	142	0	0	0	0	0	0	0	0	0	0	9	0	5	0	0	0	0	0	226	10	0	301	27	0	3	0	0	0	10	0	36	0	36	473	16	95	43	77	0	4	0	0	0	0	0	0	0	23	0	19	7	0	0	0	0	38	30	9	23	0	0	2	0	0	231	2	18	1591	28	2	0	33	0	38	16	0	36	0	0	0	658	1	3	0	1	0	0	2	2597	7	0	1058	108	281	4180	213	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	salivarius/thermophilus
seq15	8	0	14	7	0	10	78	31	35	208	18	0	0	0	15	461	6	5	72	154	245	162	123	0	27	140	0	0	0	0	0	36	0	0	3	86	97	123	117	0	111	61	216	10	233	353	95	563	0	26	0	0	0	0	856	249	524	58	169	871	218	677	99	456	179	32	278	156	76	1	15	0	4	249	20	38	63	10	806	16	64	223	122	121	130	0	0	0	0	62	3	0	32	283	1	613	245	7	462	323	83	175	2	177	0	106	150	209	125	234	0	0	572	47	501	206	352	62	23	210	51	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	elegans
seq16	0	7	75	0	0	34	48	58	103	222	324	15	0	0	24	221	26	3	257	62	0	161	73	29	29	99	0	3	2	0	0	16	0	0	7	25	0	101	56	54	41	51	232	49	203	50	76	101	67	68	8	0	0	0	367	179	192	29	245	258	334	450	56	179	345	92	482	116	134	2	60	0	5	278	19	294	97	17	69	7	379	511	758	208	564	0	0	0	0	1135	2	7	491	289	11	154	748	388	252	379	41	117	8	52	0	112	15	121	12	20	0	5	138	59	172	402	246	42	155	82	53	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	adiacens/para-adiacens
seq17	11	0	0	24	0	302	110	852	21	0	12	32	3	0	20	86	8	0	0	0	0	148	113	21	73	22	0	9	1	0	0	2457	0	1	0	21	0	4598	37	3	0	10	0	105	9	59	0	36	0	21	0	0	5	0	3	14	0	24	82	2	35	6	0	40	119	105	4	11	41	6	21	0	12	20	13	78	0	0	14	16	9	4	2	55	2	0	0	0	0	24	4	26	1647	58	0	4	24	0	16	21	36	172	0	12	5	58	66	10	10	124	0	11	22	446	19	8	0	21	11	12	12	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast			
seq18	31	26	283	0	4	0	0	0	202	0	0	44	11	0	95	260	250	51	312	205	0	752	251	0	0	0	0	0	602	2	0	95	1	0	0	87	48	138	175	0	0	0	0	0	0	0	0	322	1	235	0	0	0	0	0	14	17	0	6	0	0	0	0	0	0	7	0	6	0	124	0	3	35	0	86	678	894	25	220	2	14	62	135	0	0	0	0	2	0	7	0	0	8	146	0	0	322	27	46	20	2749	140	55	1439	0	0	15	603	9	1	0	0	2	213	0	0	30	63	50	6	7	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	salivarius
seq19	5	26	217	7	0	18	48	45	113	673	40	16	0	0	7	268	64	15	288	177	0	505	56	19	4	117	0	0	129	0	0	60	1	0	6	31	46	89	56	30	66	136	1106	8	36	112	289	64	0	95	0	0	6	4	135	57	66	39	102	89	423	93	9	241	99	56	2	12	133	5	2	0	0	4	16	414	450	6	121	2	187	611	763	112	343	0	0	0	252	177	0	0	29	58	12	263	127	218	203	620	421	102	6	284	0	92	5	287	3	34	0	4	45	52	119	207	163	38	34	81	37	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Veillonella	atypica/dispar
seq20	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	4	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	46	0	1	0	2	2075	0	2	10	172	2	0	0	0	4	800	0	3821	0	0	0	0	0	0	0	0	0	0	217	256	0	0	1789	0	0	0	0	0	3	0	2363	8	0	0	1	7	0	3	13	2	0	0	0	6	2	0	0	0	0	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Anaerococcus	senegalensis
seq21	57	18	364	3	0	30	63	48	22	277	127	3	0	0	11	9	263	7	89	276	28	11	21	90	0	192	3	0	0	1	0	6	0	0	12	34	36	29	33	126	4	34	8	39	61	44	86	45	50	51	15	1	0	1	103	75	56	36	222	131	258	283	49	582	243	10	188	74	19	0	10	0	9	108	25	357	0	0	116	12	209	640	1133	232	489	0	0	0	0	2	1	0	8	669	2	116	362	118	926	338	227	127	15	148	0	39	2	2	11	41	0	0	49	80	88	86	170	103	23	49	26	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	australis/mitis/oralis/parasanguinis/pneumoniae/rubneri/sanguinis
