SampleID	ForwardFastqFile	ReverseFastqFile	TreatmentGroup	Description	RawReads	Reads	Shannon	Chao1	ACE
SRR12823433	SRR12823433_1.fastq.gz	SRR12823433_2.fastq.gz	Mexico	SRR12823433	13530	13530	2.57823738506731	280.090909090909	280.03644902154
SRR12823434	SRR12823434_1.fastq.gz	SRR12823434_2.fastq.gz	Mexico	SRR12823434	13530	13530	3.3125760751625	250.115384615385	245.929867936961
SRR12823435	SRR12823435_1.fastq.gz	SRR12823435_2.fastq.gz	Mexico	SRR12823435	13530	13530	5.14129825949861	1060.10204081633	1056.66575751611
SRR12823436	SRR12823436_1.fastq.gz	SRR12823436_2.fastq.gz	Mexico	SRR12823436	13530	13530	5.01495409462432	467.55	466.504950420502
SRR12823437	SRR12823437_1.fastq.gz	SRR12823437_2.fastq.gz	Mexico	SRR12823437	13530	13530	5.44769575230326	1229.59722222222	1246.71522652234
SRR12823438	SRR12823438_1.fastq.gz	SRR12823438_2.fastq.gz	Mexico	SRR12823438	13530	13530	2.3190727434712	140	132.054044419651
SRR12823439	SRR12823439_1.fastq.gz	SRR12823439_2.fastq.gz	Mexico	SRR12823439	13530	13530	0.793320660523599	87.0833333333333	87.2624075794294
SRR12823440	SRR12823440_1.fastq.gz	SRR12823440_2.fastq.gz	Mexico	SRR12823440	13530	13530	0.723877930258568	84.9090909090909	86.0079340869581
SRR12823441	SRR12823441_1.fastq.gz	SRR12823441_2.fastq.gz	Mexico	SRR12823441	13530	13530	1.00751485796677	95.0769230769231	102.116174860493
SRR12823315	SRR12823315_1.fastq.gz	SRR12823315_2.fastq.gz	USA	SRR12823315	13530	13530	3.00887786111022	189.882352941176	184.870979196002
SRR12823318	SRR12823318_1.fastq.gz	SRR12823318_2.fastq.gz	USA	SRR12823318	13530	13530	2.63232077562664	176.333333333333	176.739249238854
SRR12823319	SRR12823319_1.fastq.gz	SRR12823319_2.fastq.gz	USA	SRR12823319	13530	13530	3.05651360377178	191.142857142857	191.979392120753
SRR12823320	SRR12823320_1.fastq.gz	SRR12823320_2.fastq.gz	USA	SRR12823320	13530	13530	1.73326401899496	166.105263157895	167.532559909956
SRR12823321	SRR12823321_1.fastq.gz	SRR12823321_2.fastq.gz	USA	SRR12823321	13530	13530	4.15921028964269	306.5	304.38715147267
SRR12823322	SRR12823322_1.fastq.gz	SRR12823322_2.fastq.gz	USA	SRR12823322	13530	13530	3.21883261618011	178	174.066031890275
SRR12823323	SRR12823323_1.fastq.gz	SRR12823323_2.fastq.gz	USA	SRR12823323	13530	13530	3.95384117472513	330.666666666667	330.439733451082
SRR12823324	SRR12823324_1.fastq.gz	SRR12823324_2.fastq.gz	USA	SRR12823324	13530	13530	3.40972942341902	322	342.209400384011
SRR12823325	SRR12823325_1.fastq.gz	SRR12823325_2.fastq.gz	USA	SRR12823325	13530	13530	1.90007663247294	148.315789473684	149.304392497036
SRR12823326	SRR12823326_1.fastq.gz	SRR12823326_2.fastq.gz	USA	SRR12823326	13530	13530	3.02788754394922	204.130434782609	208.424893448808
SRR12823327	SRR12823327_1.fastq.gz	SRR12823327_2.fastq.gz	USA	SRR12823327	13530	13530	3.68737589875462	336	337.15577821405
SRR12823329	SRR12823329_1.fastq.gz	SRR12823329_2.fastq.gz	USA	SRR12823329	13530	13530	3.40743599754229	323.6	332.132180977598
SRR12823330	SRR12823330_1.fastq.gz	SRR12823330_2.fastq.gz	USA	SRR12823330	13530	13530	3.3539502614739	148.157894736842	154.243762167524
SRR12823331	SRR12823331_1.fastq.gz	SRR12823331_2.fastq.gz	USA	SRR12823331	13530	13530	3.22856270341093	150.8	148.139566230509
SRR12823332	SRR12823332_1.fastq.gz	SRR12823332_2.fastq.gz	USA	SRR12823332	13530	13530	3.85088966274125	406.893617021277	403.486289173297
SRR12823333	SRR12823333_1.fastq.gz	SRR12823333_2.fastq.gz	USA	SRR12823333	13530	13530	2.07110448256063	176.041666666667	199.129320384151
SRR12823334	SRR12823334_1.fastq.gz	SRR12823334_2.fastq.gz	USA	SRR12823334	13530	13530	2.62777477132061	213.533333333333	217.150293184328
SRR12823335	SRR12823335_1.fastq.gz	SRR12823335_2.fastq.gz	USA	SRR12823335	13530	13530	2.87367056962753	69.6666666666667	70.4023047991575
SRR12823336	SRR12823336_1.fastq.gz	SRR12823336_2.fastq.gz	USA	SRR12823336	13530	13530	2.424143148078	188	190.86696541719
SRR12823337	SRR12823337_1.fastq.gz	SRR12823337_2.fastq.gz	USA	SRR12823337	13530	13530	3.4177368261617	174.588235294118	175.240674987552
SRR12823338	SRR12823338_1.fastq.gz	SRR12823338_2.fastq.gz	USA	SRR12823338	13530	13530	1.94622818850621	130.769230769231	131.315878536149
SRR12823340	SRR12823340_1.fastq.gz	SRR12823340_2.fastq.gz	USA	SRR12823340	13530	13530	3.84508185743956	324.033333333333	316.57238358018
SRR12823341	SRR12823341_1.fastq.gz	SRR12823341_2.fastq.gz	USA	SRR12823341	13530	13530	2.55388776082018	128.333333333333	135.184401211261
SRR12823342	SRR12823342_1.fastq.gz	SRR12823342_2.fastq.gz	USA	SRR12823342	13530	13530	1.7984400159979	86	91.1143120659722
SRR12823355	SRR12823355_1.fastq.gz	SRR12823355_2.fastq.gz	USA	SRR12823355	13530	13530	3.34016526792617	213.571428571429	213.64931107396
SRR12823356	SRR12823356_1.fastq.gz	SRR12823356_2.fastq.gz	USA	SRR12823356	13530	13530	2.10457369836649	119.576923076923	124.379836042395
SRR12823357	SRR12823357_1.fastq.gz	SRR12823357_2.fastq.gz	USA	SRR12823357	13530	13530	2.68656587138509	188	186.183128540902
SRR12823358	SRR12823358_1.fastq.gz	SRR12823358_2.fastq.gz	USA	SRR12823358	13530	13530	3.48887224441437	246	243.949331764504
SRR12823359	SRR12823359_1.fastq.gz	SRR12823359_2.fastq.gz	USA	SRR12823359	13530	13530	3.52879753619749	294.384615384615	279.848308560489
SRR12823360	SRR12823360_1.fastq.gz	SRR12823360_2.fastq.gz	USA	SRR12823360	13530	13530	4.10726902126143	418.171875	422.927018564022
SRR12823361	SRR12823361_1.fastq.gz	SRR12823361_2.fastq.gz	USA	SRR12823361	13530	13530	3.67107561177361	343.923076923077	348.309141984669
SRR12823363	SRR12823363_1.fastq.gz	SRR12823363_2.fastq.gz	USA	SRR12823363	13530	13530	3.91800642485192	65	65
SRR12823364	SRR12823364_1.fastq.gz	SRR12823364_2.fastq.gz	USA	SRR12823364	13530	13530	2.13401388065555	40	42.3150031786395
SRR12823365	SRR12823365_1.fastq.gz	SRR12823365_2.fastq.gz	USA	SRR12823365	13530	13530	2.27277037372995	45.5	50
SRR12823366	SRR12823366_1.fastq.gz	SRR12823366_2.fastq.gz	USA	SRR12823366	13530	13530	1.57069512247126	26	26
SRR12823367	SRR12823367_1.fastq.gz	SRR12823367_2.fastq.gz	USA	SRR12823367	13530	13530	2.50816098147565	111.571428571429	114.419461498725
SRR12823368	SRR12823368_1.fastq.gz	SRR12823368_2.fastq.gz	USA	SRR12823368	13530	13530	2.16486704960247	76.3	79.9740954078223
SRR12823369	SRR12823369_1.fastq.gz	SRR12823369_2.fastq.gz	USA	SRR12823369	13530	13530	1.89197945225728	73.5	75.1766101364522
SRR12823370	SRR12823370_1.fastq.gz	SRR12823370_2.fastq.gz	USA	SRR12823370	13530	13530	3.09326712536173	213.578947368421	222.338870205672
SRR12823371	SRR12823371_1.fastq.gz	SRR12823371_2.fastq.gz	USA	SRR12823371	13530	13530	2.94558404745836	159.142857142857	162.285226350446
SRR12823372	SRR12823372_1.fastq.gz	SRR12823372_2.fastq.gz	USA	SRR12823372	13530	13530	1.90855146419534	152.206896551724	156.365129470825
SRR12823374	SRR12823374_1.fastq.gz	SRR12823374_2.fastq.gz	USA	SRR12823374	13530	13530	3.43401689541968	241.560975609756	246.064799070382
SRR12823375	SRR12823375_1.fastq.gz	SRR12823375_2.fastq.gz	USA	SRR12823375	13530	13530	3.82910711219129	293.055555555556	292.164166394021
SRR12823376	SRR12823376_1.fastq.gz	SRR12823376_2.fastq.gz	USA	SRR12823376	13530	13530	2.27164168630534	125.8125	128.227162839454
SRR12823377	SRR12823377_1.fastq.gz	SRR12823377_2.fastq.gz	USA	SRR12823377	13530	13530	3.1417630515009	335.472727272727	347.287223488059
SRR12823378	SRR12823378_1.fastq.gz	SRR12823378_2.fastq.gz	USA	SRR12823378	13530	13530	3.73850363399205	316.666666666667	313.109915370915
SRR12823379	SRR12823379_1.fastq.gz	SRR12823379_2.fastq.gz	USA	SRR12823379	13530	13530	3.32377297913845	354.590163934426	361.626779542987
SRR12823380	SRR12823380_1.fastq.gz	SRR12823380_2.fastq.gz	USA	SRR12823380	13530	13530	3.67701455560145	324.241379310345	318.455503875969
SRR12823381	SRR12823381_1.fastq.gz	SRR12823381_2.fastq.gz	USA	SRR12823381	13530	13530	2.11728479066249	86.6666666666667	91.1034095209325
SRR12823382	SRR12823382_1.fastq.gz	SRR12823382_2.fastq.gz	USA	SRR12823382	13530	13530	3.36265902272634	399.185185185185	399.597784242262
SRR12823401	SRR12823401_1.fastq.gz	SRR12823401_2.fastq.gz	USA	SRR12823401	13530	13530	1.42270921854774	91.6666666666667	87.884732229052
SRR12823409	SRR12823409_1.fastq.gz	SRR12823409_2.fastq.gz	USA	SRR12823409	13530	13530	4.78648221157152	507.5	501.39687609248
SRR12823413	SRR12823413_1.fastq.gz	SRR12823413_2.fastq.gz	USA	SRR12823413	13530	13530	2.14909271989483	140.652173913043	143.523725824192
SRR12823414	SRR12823414_1.fastq.gz	SRR12823414_2.fastq.gz	USA	SRR12823414	13530	13530	3.24199289998432	208.096774193548	212.331091505958
SRR12823415	SRR12823415_1.fastq.gz	SRR12823415_2.fastq.gz	USA	SRR12823415	13530	13530	2.03859765860208	203.840909090909	215.38393736465
SRR12823416	SRR12823416_1.fastq.gz	SRR12823416_2.fastq.gz	USA	SRR12823416	13530	13530	3.63137595928626	512.815384615385	506.915018590354
SRR12823417	SRR12823417_1.fastq.gz	SRR12823417_2.fastq.gz	USA	SRR12823417	13530	13530	2.34106494064942	70.0769230769231	80.174085541729
SRR12823418	SRR12823418_1.fastq.gz	SRR12823418_2.fastq.gz	USA	SRR12823418	13530	13530	1.5881974913603	97.4	102.365901238162
SRR12823419	SRR12823419_1.fastq.gz	SRR12823419_2.fastq.gz	USA	SRR12823419	13530	13530	4.0467638787102	375.136363636364	375.773414931395
SRR12823420	SRR12823420_1.fastq.gz	SRR12823420_2.fastq.gz	USA	SRR12823420	13530	13530	3.5722099748773	496.138888888889	496.832110772274
SRR12823423	SRR12823423_1.fastq.gz	SRR12823423_2.fastq.gz	USA	SRR12823423	13530	13530	4.18207714889627	488.2	484.099397582041
SRR12823424	SRR12823424_1.fastq.gz	SRR12823424_2.fastq.gz	USA	SRR12823424	13530	13530	2.57317392108993	118.769230769231	120.662946428571
SRR12823425	SRR12823425_1.fastq.gz	SRR12823425_2.fastq.gz	USA	SRR12823425	13530	13530	2.57286394128044	173.344827586207	178.331359223717
SRR12823426	SRR12823426_1.fastq.gz	SRR12823426_2.fastq.gz	USA	SRR12823426	13530	13530	2.77781936065529	316.625	317.976432533286
SRR12823427	SRR12823427_1.fastq.gz	SRR12823427_2.fastq.gz	USA	SRR12823427	13530	13530	4.10017743413488	442.932203389831	447.0772117206
SRR12823428	SRR12823428_1.fastq.gz	SRR12823428_2.fastq.gz	USA	SRR12823428	13530	13530	2.70319419575072	278.441176470588	286.152542835742
SRR12823429	SRR12823429_1.fastq.gz	SRR12823429_2.fastq.gz	USA	SRR12823429	13530	13530	1.0206241587288	140.5	144.89985206851
