	Tier1	Tier2	Tier3	Tier4
PWY70	Metabolism	Amino acid metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis	Phenylalanine, tyrosine and tryptophan biosynthesis
PWY71	Metabolism	Amino acid metabolism	Tyrosine metabolism	Tyrosine metabolism
PWY72	Metabolism	Amino acid metabolism	Valine, leucine and isoleucine biosynthesis	Valine, leucine and isoleucine biosynthesis
PWY73	Metabolism	Amino acid metabolism	Valine, leucine and isoleucine degradation	Valine, leucine and isoleucine degradation
PWY74	Metabolism	Biosynthesis of other secondary metabolites	Streptomycin biosynthesis	Streptomycin biosynthesis
PWY75	Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism	Amino sugar and nucleotide sugar metabolism
PWY76	Metabolism	Carbohydrate metabolism	Butanoate metabolism	Butanoate metabolism
PWY77	Metabolism	Carbohydrate metabolism	C5-Branched dibasic acid metabolism	C5-Branched dibasic acid metabolism
PWY78	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	Citrate cycle (TCA cycle)
PWY79	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism	Fructose and mannose metabolism
PWY80	Metabolism	Carbohydrate metabolism	Galactose metabolism	Galactose metabolism
PWY81	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	Glycolysis / Gluconeogenesis
PWY82	Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism	Glyoxylate and dicarboxylate metabolism
PWY83	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	Pentose and glucuronate interconversions
PWY84	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway	Pentose phosphate pathway
PWY85	Metabolism	Carbohydrate metabolism	Propanoate metabolism	Propanoate metabolism
PWY86	Metabolism	Carbohydrate metabolism	Pyruvate metabolism	Pyruvate metabolism
PWY87	Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism	Starch and sucrose metabolism
PWY88	Metabolism	Energy metabolism	Carbon fixation in photosynthetic organisms	Carbon fixation in photosynthetic organisms
PWY89	Metabolism	Energy metabolism	Carbon fixation pathways in prokaryotes	Carbon fixation pathways in prokaryotes
PWY90	Metabolism	Energy metabolism	Nitrogen metabolism	Nitrogen metabolism
PWY91	Metabolism	Energy metabolism	Oxidative phosphorylation	Oxidative phosphorylation
PWY92	Metabolism	Energy metabolism	Sulfur metabolism	Sulfur metabolism
PWY93	Metabolism	Global and overview maps	Biosynthesis of amino acids	Biosynthesis of amino acids
PWY94	Metabolism	Global and overview maps	Biosynthesis of cofactors	Biosynthesis of cofactors
PWY95	Metabolism	Global and overview maps	Biosynthesis of secondary metabolites	Biosynthesis of secondary metabolites
PWY96	Metabolism	Global and overview maps	Carbon metabolism	Carbon metabolism
PWY97	Metabolism	Global and overview maps	Metabolic pathways	Metabolic pathways
PWY98	Metabolism	Global and overview maps	Microbial metabolism in diverse environments	Microbial metabolism in diverse environments
PWY99	Metabolism	Global and overview maps	Nucleotide metabolism	Nucleotide metabolism
PWY100	Metabolism	Glycan biosynthesis and metabolism	Arabinogalactan biosynthesis - Mycobacterium	Arabinogalactan biosynthesis - Mycobacterium
PWY101	Metabolism	Glycan biosynthesis and metabolism	Exopolysaccharide biosynthesis	Exopolysaccharide biosynthesis
PWY102	Metabolism	Glycan biosynthesis and metabolism	Lipoarabinomannan (LAM) biosynthesis	Lipoarabinomannan (LAM) biosynthesis
PWY103	Metabolism	Glycan biosynthesis and metabolism	Lipopolysaccharide biosynthesis	Lipopolysaccharide biosynthesis
PWY104	Metabolism	Glycan biosynthesis and metabolism	O-Antigen repeat unit biosynthesis	O-Antigen repeat unit biosynthesis
PWY105	Metabolism	Glycan biosynthesis and metabolism	Other glycan degradation	Other glycan degradation
PWY106	Metabolism	Glycan biosynthesis and metabolism	Peptidoglycan biosynthesis	Peptidoglycan biosynthesis
PWY107	Metabolism	Glycan biosynthesis and metabolism	Teichoic acid biosynthesis	Teichoic acid biosynthesis
