#SampleID	ForwardFastqFile	ReverseFastqFile	TreatmentGroup	Description
SRR12823378	SRR12823378_1.fastq.gz	SRR12823378_2.fastq.gz	USA	SRR12823378
SRR12823379	SRR12823379_1.fastq.gz	SRR12823379_2.fastq.gz	USA	SRR12823379
SRR12823380	SRR12823380_1.fastq.gz	SRR12823380_2.fastq.gz	USA	SRR12823380
SRR12823381	SRR12823381_1.fastq.gz	SRR12823381_2.fastq.gz	USA	SRR12823381
SRR12823382	SRR12823382_1.fastq.gz	SRR12823382_2.fastq.gz	USA	SRR12823382
SRR12823383	SRR12823383_1.fastq.gz	SRR12823383_2.fastq.gz	Mexico	SRR12823383
SRR12823384	SRR12823384_1.fastq.gz	SRR12823384_2.fastq.gz	Mexico	SRR12823384
SRR12823385	SRR12823385_1.fastq.gz	SRR12823385_2.fastq.gz	Mexico	SRR12823385
SRR12823386	SRR12823386_1.fastq.gz	SRR12823386_2.fastq.gz	Mexico	SRR12823386
SRR12823387	SRR12823387_1.fastq.gz	SRR12823387_2.fastq.gz	Mexico	SRR12823387
SRR12823388	SRR12823388_1.fastq.gz	SRR12823388_2.fastq.gz	Mexico	SRR12823388
SRR12823389	SRR12823389_1.fastq.gz	SRR12823389_2.fastq.gz	Mexico	SRR12823389
SRR12823390	SRR12823390_1.fastq.gz	SRR12823390_2.fastq.gz	Mexico	SRR12823390
SRR12823391	SRR12823391_1.fastq.gz	SRR12823391_2.fastq.gz	Mexico	SRR12823391
SRR12823392	SRR12823392_1.fastq.gz	SRR12823392_2.fastq.gz	Mexico	SRR12823392
SRR12823393	SRR12823393_1.fastq.gz	SRR12823393_2.fastq.gz	Mexico	SRR12823393
SRR12823394	SRR12823394_1.fastq.gz	SRR12823394_2.fastq.gz	Mexico	SRR12823394
SRR12823395	SRR12823395_1.fastq.gz	SRR12823395_2.fastq.gz	Mexico	SRR12823395
SRR12823396	SRR12823396_1.fastq.gz	SRR12823396_2.fastq.gz	Mexico	SRR12823396
SRR12823397	SRR12823397_1.fastq.gz	SRR12823397_2.fastq.gz	Mexico	SRR12823397
SRR12823398	SRR12823398_1.fastq.gz	SRR12823398_2.fastq.gz	Mexico	SRR12823398
SRR12823399	SRR12823399_1.fastq.gz	SRR12823399_2.fastq.gz	Mexico	SRR12823399
SRR12823400	SRR12823400_1.fastq.gz	SRR12823400_2.fastq.gz	Mexico	SRR12823400
SRR12823401	SRR12823401_1.fastq.gz	SRR12823401_2.fastq.gz	USA	SRR12823401
SRR12823402	SRR12823402_1.fastq.gz	SRR12823402_2.fastq.gz	Mexico	SRR12823402
SRR12823403	SRR12823403_1.fastq.gz	SRR12823403_2.fastq.gz	Mexico	SRR12823403
SRR12823404	SRR12823404_1.fastq.gz	SRR12823404_2.fastq.gz	Mexico	SRR12823404
SRR12823405	SRR12823405_1.fastq.gz	SRR12823405_2.fastq.gz	Mexico	SRR12823405
SRR12823406	SRR12823406_1.fastq.gz	SRR12823406_2.fastq.gz	Mexico	SRR12823406
SRR12823407	SRR12823407_1.fastq.gz	SRR12823407_2.fastq.gz	Mexico	SRR12823407
SRR12823408	SRR12823408_1.fastq.gz	SRR12823408_2.fastq.gz	Mexico	SRR12823408
SRR12823409	SRR12823409_1.fastq.gz	SRR12823409_2.fastq.gz	USA	SRR12823409
SRR12823410	SRR12823410_1.fastq.gz	SRR12823410_2.fastq.gz	Mexico	SRR12823410
SRR12823411	SRR12823411_1.fastq.gz	SRR12823411_2.fastq.gz	Mexico	SRR12823411
SRR12823412	SRR12823412_1.fastq.gz	SRR12823412_2.fastq.gz	Mexico	SRR12823412
SRR12823413	SRR12823413_1.fastq.gz	SRR12823413_2.fastq.gz	USA	SRR12823413
SRR12823414	SRR12823414_1.fastq.gz	SRR12823414_2.fastq.gz	USA	SRR12823414
SRR12823415	SRR12823415_1.fastq.gz	SRR12823415_2.fastq.gz	USA	SRR12823415
SRR12823416	SRR12823416_1.fastq.gz	SRR12823416_2.fastq.gz	USA	SRR12823416
SRR12823417	SRR12823417_1.fastq.gz	SRR12823417_2.fastq.gz	USA	SRR12823417
SRR12823418	SRR12823418_1.fastq.gz	SRR12823418_2.fastq.gz	USA	SRR12823418
SRR12823419	SRR12823419_1.fastq.gz	SRR12823419_2.fastq.gz	USA	SRR12823419
SRR12823420	SRR12823420_1.fastq.gz	SRR12823420_2.fastq.gz	USA	SRR12823420
SRR12823421	SRR12823421_1.fastq.gz	SRR12823421_2.fastq.gz	Mexico	SRR12823421
SRR12823423	SRR12823423_1.fastq.gz	SRR12823423_2.fastq.gz	USA	SRR12823423
SRR12823424	SRR12823424_1.fastq.gz	SRR12823424_2.fastq.gz	USA	SRR12823424
SRR12823425	SRR12823425_1.fastq.gz	SRR12823425_2.fastq.gz	USA	SRR12823425
SRR12823426	SRR12823426_1.fastq.gz	SRR12823426_2.fastq.gz	USA	SRR12823426
SRR12823427	SRR12823427_1.fastq.gz	SRR12823427_2.fastq.gz	USA	SRR12823427
SRR12823428	SRR12823428_1.fastq.gz	SRR12823428_2.fastq.gz	USA	SRR12823428
SRR12823429	SRR12823429_1.fastq.gz	SRR12823429_2.fastq.gz	USA	SRR12823429
SRR12823430	SRR12823430_1.fastq.gz	SRR12823430_2.fastq.gz	Mexico	SRR12823430
SRR12823431	SRR12823431_1.fastq.gz	SRR12823431_2.fastq.gz	Mexico	SRR12823431
SRR12823432	SRR12823432_1.fastq.gz	SRR12823432_2.fastq.gz	Mexico	SRR12823432
SRR12823433	SRR12823433_1.fastq.gz	SRR12823433_2.fastq.gz	Mexico	SRR12823433
SRR12823434	SRR12823434_1.fastq.gz	SRR12823434_2.fastq.gz	Mexico	SRR12823434
SRR12823435	SRR12823435_1.fastq.gz	SRR12823435_2.fastq.gz	Mexico	SRR12823435
SRR12823436	SRR12823436_1.fastq.gz	SRR12823436_2.fastq.gz	Mexico	SRR12823436
SRR12823437	SRR12823437_1.fastq.gz	SRR12823437_2.fastq.gz	Mexico	SRR12823437
SRR12823438	SRR12823438_1.fastq.gz	SRR12823438_2.fastq.gz	Mexico	SRR12823438
SRR12823439	SRR12823439_1.fastq.gz	SRR12823439_2.fastq.gz	Mexico	SRR12823439
SRR12823440	SRR12823440_1.fastq.gz	SRR12823440_2.fastq.gz	Mexico	SRR12823440
SRR12823441	SRR12823441_1.fastq.gz	SRR12823441_2.fastq.gz	Mexico	SRR12823441
