	SRR12823315	SRR12823316	SRR12823317	SRR12823318	SRR12823319	SRR12823320	SRR12823321	SRR12823322	SRR12823323	SRR12823324	SRR12823325	SRR12823326	SRR12823327	SRR12823328	SRR12823329	SRR12823330	SRR12823331	SRR12823332	SRR12823333	SRR12823334	SRR12823335	SRR12823336	SRR12823337	SRR12823338	SRR12823339	SRR12823340	SRR12823341	SRR12823342	SRR12823343	SRR12823344	SRR12823345	SRR12823346	SRR12823347	SRR12823348	SRR12823349	SRR12823350	SRR12823351	SRR12823352	SRR12823353	SRR12823354	SRR12823355	SRR12823356	SRR12823357	SRR12823358	SRR12823359	SRR12823360	SRR12823361	SRR12823362	SRR12823363	SRR12823364	SRR12823365	SRR12823366	SRR12823367	SRR12823368	SRR12823369	SRR12823370	SRR12823371	SRR12823372	SRR12823373	SRR12823374	SRR12823375	SRR12823376	SRR12823377	SRR12823378	SRR12823379	SRR12823380	SRR12823381	SRR12823382	SRR12823383	SRR12823384	SRR12823385	SRR12823386	SRR12823387	SRR12823388	SRR12823389	SRR12823390	SRR12823391	SRR12823392	SRR12823393	SRR12823394	SRR12823395	SRR12823396	SRR12823397	SRR12823398	SRR12823399	SRR12823400	SRR12823401	SRR12823402	SRR12823403	SRR12823404	SRR12823405	SRR12823406	SRR12823407	SRR12823408	SRR12823409	SRR12823410	SRR12823411	SRR12823412	SRR12823413	SRR12823414	SRR12823415	SRR12823416	SRR12823417	SRR12823418	SRR12823419	SRR12823420	SRR12823421	SRR12823423	SRR12823424	SRR12823425	SRR12823426	SRR12823427	SRR12823428	SRR12823429	SRR12823430	SRR12823431	SRR12823432	SRR12823433	SRR12823434	SRR12823435	SRR12823436	SRR12823437	SRR12823438	SRR12823439	SRR12823440	SRR12823441	Kingdom	Phylum	Class	Order	Family	Genus	Species
seq11	0	295	0	416	4	0	16	10	16	27	16	31	4618	6392	164	17	0	16	82	34	0	215	2124	0	0	0	10	0	0	0	0	70	391	6	12	0	0	0	0	0	0	3	44	0	35	2703	0	0	1	0	0	0	19	0	364	5322	0	0	2603	13	771	235	107	10	0	6575	0	0	0	7	3	20345	0	0	0	0	66	7	0	273	0	0	0	0	0	0	0	15	13	13386	0	0	53	0	3	2493	2635	102	0	22	0	254	0	7	0	0	1	0	3	6	34	0	109	279	0	13	0	54	0	10	26	0	0	0	0	0	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast			
seq12	0	2345	2448	0	0	0	35	0	0	0	0	1	0	1	0	0	0	22	0	1	0	0	0	551	0	0	5	580	16	179	0	0	0	0	0	0	0	2	3595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8056	12094	0	14	3140	76	12	0	6723	0	1	1	0	2961	7	1504	5	0	0	0	0	0	49	0	4	62	0	6	0	27	269	10	0	0	3470	5	0	10	0	0	50	0	26	11	0	4488	0	0	20	829	457	101	7	4	63	0	1	88	0	0	0	0	3	0	2	0	0	0	3	0	0	0	262	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Anaerococcus	nagyae
seq13	501	13	0	226	204	3	370	61	413	101	1	234	1188	0	0	2217	569	31	15	425	0	37	1431	7	0	361	671	16	34	0	0	52	238	6	1073	43	0	0	0	14	364	0	573	2635	2907	817	4696	30	0	0	0	0	90	9	10	70	2548	2	0	221	2880	3062	394	261	26	873	52	316	0	21	6	226	3	309	166	11	72	328	0	2	0	0	0	42	0	0	0	12	90	113	619	0	195	40	155	19	28	0	9	233	15	104	0	24	1849	118	0	2745	835	971	47	75	1064	312	0	173	0	614	358	13	61	70	0	0	0	4	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	flavescens/lactamica/meningitidis/mucosa/perflava/sicca/subflava
seq14	0	0	3	111	0	93	1355	54	248	116	252	0	7	0	0	0	0	0	0	0	0	52	0	72	0	21	0	0	0	0	980	276	213	0	104	46	3	0	0	27	0	0	118	105	26	49	0	0	0	3	0	0	572	6	62	9264	99	9	0	0	74	0	86	55	0	123	0	0	0	0	53	0	0	0	30	11	333	0	0	0	0	0	0	0	0	0	0	0	31	0	19	0	0	0	2068	0	0	0	2	6	0	7	0	0	13	8932	0	17	0	1965	369	858	12621	551	594	23	0	0	1096	46	0	5	0	0	0	22	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	salivarius/thermophilus
seq15	2759	11	0	670	1006	161	500	2675	665	1883	303	1300	471	14	103	836	254	238	4	47	0	13	581	56	0	104	218	17	13	3	20	209	76	64	594	52	0	0	0	50	1733	69	199	687	409	250	351	1042	0	0	0	0	175	5	0	150	907	9	15	1961	711	15	974	1137	251	683	7	631	15	31	184	501	781	365	269	0	77	471	2	0	0	0	0	101	0	0	0	7	176	214	427	3	359	0	323	340	180	506	460	444	352	696	0	0	1598	163	0	1112	216	640	183	69	551	144	34	491	0	969	374	1302	1	67	0	0	0	3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	elegans
seq16	1243	0	16	528	372	76	706	702	881	1209	204	522	782	75	216	1273	192	476	10	226	0	25	735	44	0	817	323	47	2	0	72	137	149	234	623	856	22	0	0	58	137	35	1253	1495	2451	424	1556	463	0	0	0	0	2971	2	14	2748	908	31	57	451	2162	1094	581	1156	154	426	17	166	6	9	669	219	0	417	174	58	56	345	0	7	5	0	0	39	0	0	0	19	70	0	406	2	192	132	364	108	177	530	57	240	29	60	0	13	345	188	0	432	422	475	133	425	244	141	101	484	0	137	288	245	148	191	31	0	0	0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella	adiacens/para-adiacens
seq17	8	29	0	35	0	48	295	6	111	19	0	111	290	0	231	8	15	141	15	44	0	27	55	33	0	234	0	0	52	0	664	319	2258	41	0	34	71	5	0	75	28	59	35	21	9	120	6	228	0	0	0	0	63	12	64	9184	141	1	19	16	81	5	43	69	104	562	0	39	0	0	0	0	0	374	223	50	155	74	0	22	1	0	0	6276	0	5	15	0	43	0	15399	2	137	10	151	0	20	0	175	21	30	393	0	37	54	1566	0	40	8	0	59	34	24	35	227	24	0	168	0	92	0	43	0	0	19	0	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast			
seq18	0	82	71	60	30	0	20	0	0	0	0	0	0	283	14	0	7	0	340	0	6	88	0	268	0	1967	2920	74	0	18	0	0	0	473	0	0	97	22	3	274	437	7	35	210	433	0	0	644	0	0	3	0	19	0	0	37	495	0	553	0	933	81	103	54	9791	544	175	4849	133	253	834	740	0	1749	624	0	0	0	0	0	1494	6	0	224	8	0	0	0	209	123	433	14	560	0	0	0	0	0	36	1233	23	3	1	0	6	724	0	0	0	47	218	166	25	12	0	0	0	0	0	737	3	582	0	0	0	0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	salivarius
seq19	430	9	51	173	130	110	321	257	1152	253	40	627	249	217	155	3	14	427	12	15	0	2	12	49	0	1179	1411	10	17	0	33	105	120	244	2110	105	30	3	0	30	240	8	605	1810	2400	230	871	621	0	0	0	546	447	0	0	213	190	35	143	815	402	643	411	2023	1464	413	15	1057	38	64	726	618	0	1190	156	35	11	341	0	0	326	1	0	154	3	0	0	17	75	115	371	18	172	77	272	200	383	2462	16	615	15	90	0	8	113	198	0	280	223	326	137	95	245	110	23	61	0	288	965	147	0	218	0	0	8	8	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Veillonella	atypica/dispar
seq20	0	0	0	0	0	0	0	0	0	4	156	0	3	0	0	3	3663	0	10	38	383	5	0	0	0	0	12	2267	0	0	0	0	0	0	0	0	0	0	3	0	0	13031	0	0	0	0	0	0	0	0	0	0	0	511	669	0	1	6754	0	0	0	0	0	0	9	0	6790	22	0	0	0	9	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	4	0	0	0	0	37	7	0	5	17	0	12	35	7	0	0	0	0	6	3	0	0	0	0	0	0	0	2	7	0	0	4	0	0	0	0	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Anaerococcus	senegalensis
